Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
gaining ^vbg+++xvbg+=gaining
public ^jj+atrb+++=public
support ^nn++++=support
for ^in++++=for
the ^ati++++=the
measures ^nn++++=measures
required ^vbd+++xvbn+=required
for ^in++++=for
Sds ^np+++??+=SDS
can ^md+pos+++=can
be ^vb+be+aux++=be
facilitated ^vpsv++by+xvbnx+=facilitated
by ^in++++=by
providing ^xvbg+++xvbg+=providing
clear ^jj+atrb+++=clear
evidence ^nn++++=evidence
of ^in++++=of
the ^ati++++=the
strategy ^nn++++=strategy
s ^zz++++=s
effectiveness ^nn++++=effectiveness.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
referenced ^nn+++??+=referenced
to ^in++++=to
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
death ^nn++++=death,
, ^zz++++=EXTRAWORD
as ^in++++=as
presented ^nn++++=presented
in ^in++++=in
Figure ^nn++++=Figure
1 ^zz++++=1
or ^cc++++=or
Figure ^nn++++=Figure
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
accurately ^rb++++=accurately
demonstrates ^vbz+vpub+++=demonstrates
the ^ati++++=the
success ^nn++++=success
of ^in++++=of
the ^ati++++=the
intervention ^nn++++=intervention
compared ^vbd+++xvbn+=compared
to ^in++++=to
data ^nns++++=data
referenced ^nn+++??+=referenced
to ^in++++=to
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
the ^ati++++=the
test ^nn++++=test
result ^nn++++=result,
, ^zz++++=EXTRAWORD
as ^in++++=as
shown ^nn++++=shown
in ^in++++=in
figure ^nn++++=Figure
3 ^zz++++=3.
. ^zz++++=EXTRAWORD
