Coronavirus ^np+++??+=Coronavirus
disease ^nn++++=disease
2019 ^cd++++=2019
( ^zz++++=(COVID-19)
covid ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
caused ^vpsv++by+xvbnx+=caused
by ^in++++=by
a ^at++++=a
betacoronavirus ^nn++++=betacoronavirus
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
severe ^jj+atrb+++=severe
acute ^jj+atrb+++=acute
respiratory ^jj+atrb+++=respiratory
syndrome ^nn++++=syndrome
coronavirus ^nns+++??+=coronavirus
2 ^zz++++=2
( ^zz++++=(SARS-CoV-2).
sars ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
its ^pp$+it+++=its
initial ^jj+atrb+++=initial
outbreak ^nn++++=outbreak
in ^in++++=in
Wuhan ^np+++??+=Wuhan,
, ^zz++++=EXTRAWORD
China ^np++++=China,
, ^zz++++=EXTRAWORD
in ^in++++=in
December ^nr++++=December
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
rapidly ^rb++++=rapidly
disseminated ^vbd+++xvbn+=disseminated
globally ^nn+++??+=globally.
. ^zz++++=EXTRAWORD
On ^in++++=On
March ^nr++++=March
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn++++=Organization
Officially ^rb++++=officially
Declared ^jj+atrb+++=declared
Covid ^np++++=COVID-19
 ^zz++++=EXTRAWORD
9 ^cd++++=EXTRAWORD
A ^at++++=a
Pandemic ^nn++++=pandemic.
 ^zz++++=EXTRAWORD
