These ^dt+dem+++=These
reports ^nns++++=reports
demonstrate ^vb+vprv+++=demonstrate
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
counteract ^vbi++++=counteract
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
stigmatization ^nn+++??+=stigmatization
by ^in++++=by
adopting ^xvbg+++xvbg+=adopting
an ^at++++=an
active ^jj+atrb+++=active
approach ^nn++++=approach
to ^in++++=to
professional ^jj+atrb+++=professional
identity ^nn++++=identity.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
has ^vbz+hvz+aux++=has
resulted ^vprf+++xvbnx+=resulted
in ^in++++=in
increased ^jj+atrb++xvbn+=increased
opportunities ^nns++++=opportunities
for ^in++++=for
women ^nns++++=women
and ^cc++++=and
girls ^nns++++=girls
to ^to++++=to
receive ^vbi++++=receive
support ^nn++++=support
from ^in++++=from
a ^at++++=a
Network ^nn++++=Network
professional ^nn++++=professional
when ^wrb+who+++=when
accessing ^nn+++??+=accessing
non ^&fw++++=non-punishable
- ^zz++++=EXTRAWORD
punishable ^jj+atrb+++=EXTRAWORD
abortion ^nn++++=abortion
services ^nns++++=services
in ^in++++=in
public ^jj+atrb+++=public
institutions ^nns++++=institutions.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
active ^jj+atrb+++=active
engagement ^nn++++=engagement
has ^vbz+hvz+aux++=has
facilitated ^vprf+++xvbnx+=facilitated
the ^ati++++=the
provision ^nn++++=provision
of ^in++++=of
preand ^nn+++??+=preand
post ^nn++++=post-abortion
- ^zz++++=EXTRAWORD
abortion ^nn++++=EXTRAWORD
counseling ^nn++++=counseling
sessions ^nns++++=sessions
in ^in++++=in
numerous ^jj+atrb+++=numerous
healthcare ^nn++++=healthcare
centers ^nns++++=centers
nationwide ^jj++++=nationwide.
. ^zz++++=EXTRAWORD
