Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
cladribine ^nn+++??+=cladribine
and ^cc++++=and
alemtuzumab ^nn+++??+=alemtuzumab
substantially ^rb++++=substantially
impair ^vb++++=impair
immune ^jj+atrb+++=immune
defenses ^nns+++??+=defenses
against ^in++++=against
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
studies ^nns++++=studies
have ^vb+hv+aux++=have
indicated ^vprf+++xvbnx+=indicated
that ^tht+vcmp+++=that
omitting ^nn+++??+=omitting
a ^at++++=a
second ^od++++=second
dose ^nn++++=dose
of ^in++++=of
alemtuzumab ^nn+++??+=alemtuzumab
may ^md+pos+++=may
still ^rb+atrb+++=still
result ^nn++++=result
in ^in++++=in
effective ^jj+atrb+++=effective
disease ^nn++++=disease
control ^nn++++=control.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
additional ^jj+atrb+++=additional
data ^nns++++=data
are ^vb+ber+aux++=are
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
this ^dt+dem+++=this
omission ^nn++++=omission
affects ^vbz++++=affects
the ^ati++++=the
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
efficacy ^nn++++=efficacy
of ^in++++=of
the ^ati++++=the
therapy ^nn++++=therapy.
. ^zz++++=EXTRAWORD
