Both ^abx++++=Both
rapid ^jj++++=rapid
and ^cc++++=and
Rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
tests ^nns++++=tests
conducted ^vbd+++xvbn+=conducted
for ^in++++=for
the ^ati++++=the
detection ^nn++++=detection
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
show ^nn++++=show
a ^at++++=a
relationship ^nn++++=relationship
with ^in++++=with
incidence ^nn++++=incidence
and ^cc++++=and
mortality ^nn++++=mortality
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
Figure ^nn++++=Figure
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
municipal ^jj+atrb+++=municipal
level ^nn++++=level,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Pearson ^np++++=Pearson
correlation ^nn++++=correlation
coefficient ^nn++++=coefficient
between ^in++++=between
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
rapid ^jj+atrb+++=rapid
tests ^nns++++=tests
and ^cc++++=and
the ^ati++++=the
incidence ^nn++++=incidence
rate ^nn++++=rate
was ^vbd+bedz+vrb++=was
+ ^zz++++=+0.39,
0.39 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
coefficient ^nn++++=coefficient
between ^in++++=between
Rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
tests ^nns++++=tests
and ^cc++++=and
the ^ati++++=the
incidence ^nn++++=incidence
rate ^nn++++=rate
was ^vbd+bedz+vrb++=was
+ ^zz++++=+0.21.
0.21 ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
mortality ^nn++++=mortality
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
the ^ati++++=the
correlation ^nn++++=correlation
coefficients ^nns++++=coefficients
were ^vbd+bed+vrb++=were
0 ^zz++++=0
for ^in++++=for
rapid ^jj+atrb+++=rapid
tests ^nns++++=tests
and ^cc++++=and
+ ^zz++++=+0.12
0.12 ^nn++++=EXTRAWORD
for ^in++++=for
rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn++++=EXTRAWORD
tests ^nns++++=tests.
. ^zz++++=EXTRAWORD
