Seventy ^cd++++=Seventy-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
percent ^nnu++++=percent
of ^in++++=of
the ^ati++++=the
examined ^jj+atrb++xvbn+=examined
population ^nn++++=population
reported ^vbd+vpub++xvbn+=reported
watching ^vbg+++xvbg+=watching
television ^nn++++=television,
, ^zz++++=EXTRAWORD
with ^in++++=with
46 ^cd++++=46%
% ^zz++++=EXTRAWORD
of ^in++++=of
women ^nns++++=women
and ^cc++++=and
26 ^cd++++=26%
% ^zz++++=EXTRAWORD
of ^in++++=of
men ^nns++++=men
indicating ^vwbg+vprv++xvbg+=indicating
this ^dt+dem+++=this
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
women ^nns++++=women,
, ^zz++++=EXTRAWORD
21 ^cd++++=21%
% ^zz++++=EXTRAWORD
watch ^vb++++=watch
television ^nn++++=television
daily ^jj++++=daily
and ^cc++++=and
20 ^cd++++=20%
% ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
once ^rb+tm+++=once
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
among ^in++++=among
men ^nns++++=men,
, ^zz++++=EXTRAWORD
13 ^cd++++=13%
% ^zz++++=EXTRAWORD
watch ^vb++++=watch
daily ^jj++++=daily
and ^cc++++=and
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
once ^rb+tm+++=once
a ^at++++=a
week ^nn++++=week.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
devices ^nns++++=devices
used ^vwbn+++xvbn+=used
for ^in++++=for
television ^nn++++=television
viewing ^vwbg+++xvbg+=viewing
are ^vb+ber+vrb++=are
televisions ^nns+++??+=televisions
( ^zz++++=(80%),
80% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
computers ^nns++++=computers
( ^zz++++=(14%),
14% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
cell ^nn++++=cell
phones ^nns++++=phones
( ^zz++++=(5%),
5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tablets ^nns++++=tablets
( ^zz++++=(1%).
1% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
the ^ati++++=the
duration ^nn++++=duration
of ^in++++=of
television ^nn++++=television
viewing ^vwbg+++xvbg+=viewing
from ^in++++=from
Monday ^nr++++=Monday
to ^in++++=to
Friday ^nr++++=Friday,
, ^zz++++=EXTRAWORD
54 ^cd++++=54%
% ^zz++++=EXTRAWORD
of ^in++++=of
respondents ^nns++++=respondents
spend ^vb++++=spend
one ^cd1++++=one
to ^to++++=to
two ^cd++++=two
hours ^nns++++=hours
per ^nnu++++=per
day ^nn++++=day,
, ^zz++++=EXTRAWORD
14 ^cd++++=14%
% ^zz++++=EXTRAWORD
spend ^vb++++=spend
three ^cd++++=three
to ^to++++=to
four ^cd++++=four
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
3 ^zz++++=3%
% ^zz++++=EXTRAWORD
spend ^vb++++=spend
five ^cd++++=five
to ^to++++=to
six ^cd++++=six
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
spend ^vb++++=spend
more ^rbr++++=more
than ^in++++=than
six ^cd++++=six
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
On ^in++++=On
weekends ^nns++++=weekends,
, ^zz++++=EXTRAWORD
36 ^cd++++=36%
% ^zz++++=EXTRAWORD
watch ^vb++++=watch
television ^nn++++=television
for ^in++++=for
one ^cd1++++=one
to ^to++++=to
two ^cd++++=two
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
27 ^cd++++=27%
% ^zz++++=EXTRAWORD
for ^in++++=for
three ^cd++++=three
to ^to++++=to
four ^cd++++=four
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
for ^in++++=for
five ^cd++++=five
to ^to++++=to
six ^cd++++=six
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
for ^in++++=for
more ^rbr++++=more
than ^in++++=than
six ^cd++++=six
hours ^nns++++=hours
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Figure ^nn++++=Figure
6 ^zz++++=6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
terms ^nns++++=terms
of ^in++++=of
content ^nn++++=content
preferences ^nns++++=preferences,
, ^zz++++=EXTRAWORD
respondents ^nns++++=respondents
favor ^nn++++=favor
movies ^nns++++=movies
( ^zz++++=(24%),
24% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
series ^nn++++=series
and ^cc++++=and
soap ^nn++++=soap
operas ^nns++++=operas
( ^zz++++=(17%),
17% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sports ^nns++++=sports
( ^zz++++=(8%),
8% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
entertainment ^nn++++=entertainment
programs ^nns+++??+=programs
( ^zz++++=(7%),
7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
news ^nn++++=news
and ^cc++++=and
information ^nn++++=information
( ^zz++++=(5%),
5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
children ^nns++++=children's
's ^$++++=EXTRAWORD
programs ^nns+++??+=programs
( ^zz++++=(4%),
4% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
documentaries ^nns+++??+=documentaries
( ^zz++++=(4%),
4% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
music ^nn++++=music
concerts ^nns++++=concerts
( ^zz++++=(1%).
1% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
viewing ^xvbg+++xvbg+=viewing
frequency ^nn++++=frequency,
, ^zz++++=EXTRAWORD
34 ^cd++++=34%
% ^zz++++=EXTRAWORD
watch ^vb++++=watch
television ^nn++++=television
daily ^jj++++=daily,
, ^zz++++=EXTRAWORD
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
once ^rb+tm+++=once
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
once ^rb+tm+++=once
a ^at++++=a
month ^nn++++=month,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
never ^rb++++=never
or ^cc+phrs+++=or
almost ^rb+hdg+++=almost
never ^rb++++=never.
. ^zz++++=EXTRAWORD
