Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
comparison ^nn++++=comparison
of ^in++++=of
data ^nns++++=data
from ^in++++=from
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
City ^nn++++=City
with ^in++++=with
that ^dt+dem+++=that
from ^in++++=from
other ^ap++++=other
regions ^nns++++=regions
of ^in++++=of
the ^ati++++=the
state ^nn++++=state
revealed ^vbd+vprv++xvbn+=revealed
distinct ^jj+atrb+++=distinct
trends ^nns++++=trends
in ^in++++=in
disease ^nn++++=disease
transmission ^nn++++=transmission,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
the ^ati++++=the
necessity ^nn++++=necessity
of ^in++++=of
utilizing ^nn+++??+=utilizing
localized ^nn+++??+=localized
data ^nns++++=data
to ^to++++=to
establish ^vbi+vprv+++=establish
region ^nn++++=region-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
targets ^nns++++=targets
for ^in++++=for
the ^ati++++=the
sdi ^np++++=SDI.
. ^zz++++=EXTRAWORD
