Among ^in++++=Among
the ^ati++++=the
professionals ^nns++++=professionals
interviewed ^vwbn+++xvbn+=interviewed,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
prevailing ^jj+atrb++xvbg+=prevailing
perception ^nn++++=perception
that ^tht+ncmp+++=that
performing ^vbg+++xvbg+=performing
or ^cc+phrs+++=or
participating ^vbg+++xvbg+=participating
in ^in++++=in
the ^ati++++=the
provision ^nn++++=provision
of ^in++++=of
an ^at++++=an
abortion ^nn++++=abortion
would ^md+prd+++=would
have ^vb+hv+aux++=have
exposed ^vprf+++xvbnx+=exposed
them ^pp3o+pp3+++=them
to ^in++++=to
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
becoming ^xvbg+++xvbg+=becoming
a ^at++++=a
discredited ^jj+atrb++xvbn+=discredited
individual ^nn++++=individual,
, ^zz++++=EXTRAWORD
as ^in++++=as
described ^nn++++=described
by ^in++++=by
goffman ^np++++=Goffman
( ^zz++++=(2008,
2008 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
pp ^nns++++=pp.
. ^zz++++=EXTRAWORD
14 ^cd++++=14
16 ^cd++++=16).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
