A ^at++++=A
schematic ^nn++++=schematic
presented ^vwbn+++xvbn+=presented
in ^in++++=in
Figure ^nn++++=Figure
6 ^zz++++=6
was ^vbd+bedz+aux++=was
developed ^vpsv++agls+xvbnx+=developed
based ^vbd+++xvbn+=based
on ^in++++=on
Rehva ^np+++??+=REHVA
[ ^zz++++=[14]
14 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
and ^cc++++=and
Ashrae ^np+++??+=ASHRAE
guidelines ^nns+++??+=guidelines
to ^to++++=to
illustrate ^vbi++++=illustrate
the ^ati++++=the
behavior ^nn++++=behavior
of ^in++++=of
aerosols ^nns++++=aerosols
and ^cc++++=and
to ^to++++=to
identify ^vb++++=identify
potential ^jj+atrb+++=potential
mitigation ^nn++++=mitigation
strategies ^nns++++=strategies.
. ^zz++++=EXTRAWORD
