These ^dt+dem+++=These
strategies ^nns+++??+=strategies
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Figure ^nn++++=Figure
4 ^zz++++=4)
) ^zz++++=EXTRAWORD
namely ^rb+cnj+++=namely,
, ^zz++++=EXTRAWORD
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
Uvc ^np+++??+=UVC
lamps ^nns++++=lamps,
, ^zz++++=EXTRAWORD
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
pressure ^nn++++=pressure
control ^nn++++=control
and ^cc++++=and
air ^nn++++=air
renewal ^nn++++=renewal/filtration,
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
restroom ^nn+++??+=restroom
interventions ^nns++++=interventions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
4 ^zz++++=4)
) ^zz++++=EXTRAWORD
humidity ^nn++++=humidity
control ^nn++++=control
to ^to++++=to
prevent ^vbi++++=prevent
contagion ^nn++++=contagion
were ^vbd+bed+aux++=were
evaluated ^vpsv++agls+xvbnx+=evaluated
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
their ^pp$+pp3+++=their
effectiveness ^nn++++=effectiveness
in ^in++++=in
addressing ^vbg+++xvbg+=addressing
various ^jj+atrb+++=various
sources ^nns++++=sources
of ^in++++=of
contagion ^nn++++=contagion.
. ^zz++++=EXTRAWORD
