Existing ^jj+atrb++xvbg+=Existing
welfare ^nn++++=welfare
structures ^nns++++=structures
should ^md+nec+++=should
be ^vb+be+aux++=be
expanded ^vpsv++agls+xvbnx+=expanded
to ^to++++=to
include ^vbi++++=include
provisions ^nns++++=provisions
for ^in++++=for
vulnerable ^jj+atrb+++=vulnerable
school ^nn++++=school
children ^nns++++=children,
, ^zz++++=EXTRAWORD
ensuring ^vbg+vprv++xvbg+=ensuring
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
specific ^jj+atrb+++=specific
needs ^nns++++=needs
are ^vb+ber+aux++=are
addressed ^vpsv++agls+xvbnx+=addressed
within ^in++++=within
the ^ati++++=the
broader ^jjr+atrb+++=broader
framework ^nn++++=framework
of ^in++++=of
social ^jj+atrb+++=social
support ^nn++++=support
systems ^nns++++=systems.
. ^zz++++=EXTRAWORD
