Since ^cs+sub+++=Since
a ^at++++=a
quasi ^jjb++++=quasi-experimental
- ^zz++++=EXTRAWORD
experimental ^jj+atrb+++=EXTRAWORD
approach ^nn++++=approach
was ^vbd+bedz+aux++=was
employed ^vpsv++agls+xvbnx+=employed,
, ^zz++++=EXTRAWORD
two ^cd++++=two
separate ^jj+atrb+++=separate
measurements ^nns++++=measurements
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted:
: ^zz++++=EXTRAWORD
a ^at++++=a
pre ^nn+++??+=pre-test
- ^zz++++=EXTRAWORD
test ^vb++++=EXTRAWORD
administered ^vbd+++xvbn+=administered
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
intervention ^nn++++=intervention
and ^cc++++=and
a ^at++++=a
post ^nn++++=post-test
- ^zz++++=EXTRAWORD
test ^vb++++=EXTRAWORD
administered ^vbd+++xvbn+=administered
following ^jj+++xvbg+=following
the ^ati++++=the
intervention ^nn++++=intervention.
. ^zz++++=EXTRAWORD
The ^ati++++=The
significance ^nn++++=significance
level ^nn++++=level
for ^in++++=for
this ^dt+dem+++=this
social ^jj+atrb+++=social
science ^nn++++=science
research ^nn++++=research
was ^vbd+bedz+aux++=was
set ^vpsv++agls+xvbnx+=set
at ^rb++++=at
= ^zz++++==
0.05 ^nn+++??+=0.05,
, ^zz++++=EXTRAWORD
corresponding ^jj+++xvbg+=corresponding
to ^in++++=to
an ^at++++=an
assumed ^nn++++=assumed
risk ^vb++++=risk
of ^in++++=of
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
confidence ^nn++++=confidence
level ^nn++++=level
of ^in++++=of
95 ^cd++++=95%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
