At ^rb++++=At
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
writing ^xvbg+++xvbg+=writing
( ^zz++++=(mid-June
mid ^jjb++++=EXTRAWORD
- ^zz++++=EXTRAWORD
june ^nr++++=EXTRAWORD
2020 ^cd++++=2020),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
countries ^nns++++=countries
were ^vbd+bed+aux++=were
experiencing ^vbg+++xvbgx+=experiencing
varying ^jj+atrb++xvbg+=varying
stages ^nns++++=stages
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
epidemic ^nn++++=epidemic.
. ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
was ^vbd+bedz+aux++=was
approaching ^vbg+++xvbgx+=approaching
the ^ati++++=the
peak ^nn++++=peak
of ^in++++=of
its ^pp$+it+++=its
epidemic ^nn++++=epidemic
curve ^nn++++=curve,
, ^zz++++=EXTRAWORD
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
was ^vbd+bedz+aux++=was
observing ^vbg+vprv++xvbgx+=observing
a ^at++++=a
decline ^nn++++=decline
in ^in++++=in
case ^nn++++=case
numbers ^nns++++=numbers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Australia ^np++++=Australia
had ^vb+hv+aux++=had
largely ^rb++splt++=largely
flattened ^vprf+++xvbnx+=flattened
its ^pp$+it+++=its
curve ^nn++++=curve,
, ^zz++++=EXTRAWORD
with ^in++++=with
new ^jj+atrb+++=new
cases ^nns++++=cases
nearing ^vwbg+++xvbg+=nearing
elimination ^nn++++=elimination.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
these ^dt+dem+++=these
differing ^jj+atrb++xvbg+=differing
epidemiological ^nn+++??+=epidemiological
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
pertinent ^jj+pred+++=pertinent
to ^to++++=to
compare ^vbi++++=compare
the ^ati++++=the
strategies ^nns+++??+=strategies
each ^dt++++=each
country ^nn++++=country
is ^vbz+bez+aux++=is
employing ^vbg+++xvbgx+=employing
to ^in++++=to
plan ^nn++++=plan
and ^cc++++=and
implement ^vb++++=implement
the ^ati++++=the
resumption ^nn++++=resumption
of ^in++++=of
clinical ^jj+atrb+++=clinical
teaching ^nn++++=teaching
in ^in++++=in
dentistry ^nn++++=dentistry.
. ^zz++++=EXTRAWORD
