During ^in++++=During
the ^ati++++=the
operative ^jj+atrb+++=operative
procedure ^nn++++=procedure,
, ^zz++++=EXTRAWORD
additional ^jj+atrb+++=additional
measures ^nns++++=measures
were ^vbd+bed+aux++=were
implemented ^vpsv++agls+xvbnx+=implemented,
, ^zz++++=EXTRAWORD
including ^in++++=including
requiring ^xvbg+++xvbg+=requiring
the ^ati++++=the
surgical ^jj+atrb+++=surgical
team ^nn++++=team
to ^to++++=to
remain ^vbi++++=remain
outside ^jjb++++=outside
the ^ati++++=the
operating ^nn++++=operating
room ^nn++++=room
during ^in++++=during
both ^abx++++=both
anesthetic ^jj+atrb+++=anesthetic
induction ^nn++++=induction
and ^cc++++=and
recovery ^nn++++=recovery.
. ^zz++++=EXTRAWORD
