A ^at++++=A
novel ^nn++++=novel
coronavirus ^nns+++??+=coronavirus,
, ^zz++++=EXTRAWORD
identified ^xvbn+++xvbn+=identified
as ^ql++++=as
Severe ^jj+atrb+++=Severe
Acute ^jj+atrb+++=Acute
Respiratory ^jj+atrb+++=Respiratory
Syndrome ^np+++??+=Syndrome
Coronavirus ^np+++??+=Coronavirus
2 ^zz++++=2
( ^zz++++=(SARS-CoV-2),
sars ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
severe ^jj+atrb+++=severe
respiratory ^jj+atrb+++=respiratory
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
emerged ^j+++xvbn+=emerged
in ^in++++=in
wuhan ^np++++=Wuhan,
, ^zz++++=EXTRAWORD
china ^np++++=China,
, ^zz++++=EXTRAWORD
in ^in++++=in
late ^jj++++=late
2019 ^cd++++=2019.
. ^zz++++=EXTRAWORD
