Multiple ^jj+atrb+++=Multiple
sclerosis ^nns+++??+=sclerosis
( ^zz++++=(MS)
ms ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
chronic ^jj++++=chronic,
, ^zz++++=EXTRAWORD
demyelinating ^nn+++??+=demyelinating
autoimmune ^nn+++??+=autoimmune
disease ^nn++++=disease
of ^in++++=of
the ^ati++++=the
central ^jj+atrb+++=central
nervous ^jj+atrb+++=nervous
system ^nn++++=system
( ^zz++++=(CNS)
cns ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
represents ^vbz++++=represents
the ^ati++++=the
most ^ql+emph+++=most
common ^jj+atrb+++=common
demyelinating ^nn+++??+=demyelinating
disorder ^nn++++=disorder,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
leading ^jj+atrb++xvbg+=leading
cause ^nn++++=cause
of ^in++++=of
neurological ^nn+++??+=neurological
disability ^nn++++=disability
in ^in++++=in
young ^jj+atrb+++=young
adults ^nns++++=adults
after ^in++++=after
trauma ^nn+++??+=trauma.
. ^zz++++=EXTRAWORD
Neuromyelitis ^np+++??+=Neuromyelitis
optica ^nn+++??+=optica
spectrum ^nn+++??+=spectrum
disorder ^nn++++=disorder
( ^zz++++=(NMOSD),
nmosd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
an ^at++++=an
important ^jj+atrb+++=important
differential ^nn++++=differential
diagnosis ^nn++++=diagnosis
of ^in++++=of
Ms ^nn++++=MS,
, ^zz++++=EXTRAWORD
comprises ^vbz++++=comprises
a ^at++++=a
group ^nn++++=group
of ^in++++=of
recurrent ^jj+atrb+++=recurrent
autoimmune ^nn+++??+=autoimmune
diseases ^nns++++=diseases
of ^in++++=of
the ^ati++++=the
Cns ^np+++??+=CNS
that ^tht+rel+subj++=that
primarily ^rb+down+++=primarily
affect ^vb++++=affect
the ^ati++++=the
optic ^nn+++??+=optic
nerves ^nns++++=nerves
and ^cc++++=and
spinal ^jj+atrb++??+=spinal
cord ^nn++++=cord.
. ^zz++++=EXTRAWORD
Nmosd ^np+++??+=NMOSD
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
antibodies ^nns++++=antibodies
against ^in++++=against
the ^ati++++=the
aquaporin ^nn+++??+=aquaporin-4
- ^zz++++=EXTRAWORD
4 ^zz++++=EXTRAWORD
water ^nn++++=water
channel ^npl++++=channel
( ^zz++++=(AQP4-IgG)
aqp4 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
igg ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
more ^rbr++++=more
than ^in++++=than
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
of ^in++++=of
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
Aqp4 ^np+++??+=AQP4-IgG
- ^zz++++=EXTRAWORD
igg ^nn+++??+=EXTRAWORD
seronegative ^nn+++??+=seronegative
Nmosd ^np+++??+=NMOSD
includes ^vb++++=includes
a ^at++++=a
heterogeneous ^jj+atrb+++=heterogeneous
group ^nn++++=group
of ^in++++=of
both ^abx++++=both
monophasic ^nn+++??+=monophasic
and ^cc++++=and
relapsing ^jj+atrb++??+=relapsing
inflammatory ^jj+atrb+++=inflammatory
Cns ^np+++??+=CNS
disorders ^nns++++=disorders,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
those ^dt+dem+++=those
related ^jj+++xvbn+=related
to ^in++++=to
myelin ^nn+++??+=myelin
oligodendrocyte ^nn+++??+=oligodendrocyte
glycoprotein ^nn+++??+=glycoprotein
antibodies ^nns++++=antibodies
( ^zz++++=(MOG-IgG),
mog ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
igg ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
post ^nn++++=post-infectious
- ^zz++++=EXTRAWORD
infectious ^nns+++??+=EXTRAWORD
inflammation ^nn+++??+=inflammation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
conditions ^nns++++=conditions
mediated ^nn+++??+=mediated
by ^in++++=by
unidentified ^nn+++??+=unidentified
antibodies ^nns++++=antibodies.
. ^zz++++=EXTRAWORD
In ^in++++=In
Latin ^jj+atrb+++=Latin
America ^np++++=America,
, ^zz++++=EXTRAWORD
Nmosd ^np+++??+=NMOSD
accounts ^nns++++=accounts
for ^in++++=for
approximately ^rb+down+++=approximately
20 ^cd++++=20%
% ^zz++++=EXTRAWORD
of ^in++++=of
all ^abn++++=all
demyelinating ^nn++++=demyelinating
diseases ^nns++++=diseases
of ^in++++=of
the ^ati++++=the
cns ^np++++=CNS.
. ^zz++++=EXTRAWORD
