During ^in++++=During
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
patients ^nns++++=patients
at ^in++++=at
both ^abx++++=both
Hospital ^nn++++=Hospital
das ^&fw++++=das
Cl ^np+++??+=Cl
nicas ^nns+++??+=nicas
da ^np++++=da
Faculdade ^np+++??+=Faculdade
de ^&fw++++=de
Medicina ^np+++??+=Medicina
da ^np++++=da
Universidade ^np+++??+=Universidade
de ^&fw++++=de
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
and ^cc++++=and
Faculdade ^np+++??+=Faculdade
de ^&fw++++=de
Ci ^np+++??+=Ci
ncias ^nns+++??+=ncias
M ^zz++++=M
dicas ^nns+++??+=dicas
da ^np++++=da
Santa ^&fw++++=Santa
Casa ^np+++??+=Casa
de ^&fw++++=de
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
contacted ^vpsv++agls+xvbnx+=contacted
via ^in++++=via
telephone ^nn++++=telephone
and ^cc++++=and/or
email ^nn+++??+=email.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
has ^vbz+hvz+aux++=has
facilitated ^vprf+++xvbnx+=facilitated
direct ^jj+atrb+++=direct
communication ^nn++++=communication
between ^in++++=between
patients ^nns++++=patients
and ^cc++++=and
healthcare ^nn+++??+=healthcare
providers ^nns+++??+=providers
for ^in++++=for
the ^ati++++=the
purposes ^nns++++=purposes
of ^in++++=of
rescheduling ^nn+++??+=rescheduling
appointments ^nns++++=appointments,
, ^zz++++=EXTRAWORD
reviewing ^nvbg+++xvbg+=reviewing
laboratory ^nn++++=laboratory
and ^cc++++=and
imaging ^nn+++??+=imaging
results ^nns++++=results,
, ^zz++++=EXTRAWORD
addressing ^vbg+++xvbg+=addressing
patient ^nn++++=patient
complaints ^nns++++=complaints,
, ^zz++++=EXTRAWORD
managing ^jj+atrb++xvbg+=managing
and ^cc+phrs+++=and
monitoring ^jj+atrb++xvbg+=monitoring
medications ^nns+++??+=medications,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disseminating ^jj+atrb+++=disseminating
information ^nn++++=information
related ^vpsv++agls+xvbn+=related
to ^to++++=to
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
