All ^abn++++=All
examined ^jj+atrb++xvbn+=examined
taxa ^nn+++??+=taxa
represent ^vb++++=represent
new ^jj++++=new
records ^vbz+vpub+++=records
for ^in++++=for
Parque ^np+++??+=Parque
Estadual ^np+++??+=Estadual
da ^np++++=da
Ilha ^np+++??+=Ilha
do ^vb+do+vrb++=do
Cardoso ^np+++??+=Cardoso.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
five ^cd++++=five
species ^nn++++=species
are ^vb+ber+aux++=are
described ^vpsv++agls+xvbnx+=described
herein ^rb++++=herein
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
constitute ^vb++++=constitute
new ^jj++++=new
records ^vbz+vpub+++=records
for ^in++++=for
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
species ^nn++++=species
is ^vbz+bez+aux++=is
reported ^vpsv++agls+xvbnx+=reported
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
from ^in++++=from
the ^ati++++=the
state ^nn++++=State
of ^in++++=of
s ^zz++++=S
o ^zz++++=o
paulo ^np++++=Paulo.
. ^zz++++=EXTRAWORD
