Finding ^vbg+++xvbg+=Finding
a ^at++++=a
professional ^jj+atrb+++=professional
community ^nn++++=community
that ^tht+rel+obj++=that
normalizes ^nns+++??+=normalizes
their ^pp$+pp3+++=their
work ^nn++++=work
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
mitigate ^vbi++++=mitigate
the ^ati++++=the
sense ^nn++++=sense
of ^in++++=of
vulnerability ^nn++++=vulnerability
associated ^vbd+++xvbn+=associated
with ^in++++=with
stigma ^nn++++=stigma
( ^zz++++=(O
o ^zz++++=EXTRAWORD
Donnell ^np+++??+=Donnell,
, ^zz++++=EXTRAWORD
Weitz ^np+++??+=Weitz,
, ^zz++++=EXTRAWORD
Freedman ^np+++??+=Freedman
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
One ^cd1++++=One
female ^nn++++=female
professional ^jj++++=professional
stated ^jj+++xvbn+=stated,
, ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
so ^ql++++=so-called
- ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=EXTRAWORD
abortionists ^nns+++??+=abortionists,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+tht0++=say
we ^pp1a+pp1+++=we
ourselves ^ppls+pp1+++=ourselves,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
300 ^cd++++=300
and ^cc++++=and
come ^vb++++=come
out ^rp+pl+++=out
and ^cc++++=and
support ^nn++++=support
this ^dt+dem+++=this
cause ^nn++++=cause
( ^zz++++=(women
women ^nns++++=EXTRAWORD
s ^zz++++=s
right ^nn++++=right
to ^to+ncmp+++=to
abortion ^vb++++=abortion),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
cannot ^md+pos+not++=cannot
be ^vb+be+vrb++=be
that ^dt+dem+++=that
bad ^jj++++=bad
that ^dt+pdem+++=that
is ^vbz+bez+aux++=is
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
entailed ^vpsv++by+xvbnx+=entailed
by ^in++++=by
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
common ^jj+atrb+++=common
sense ^nn++++=sense
( ^zz++++=(S.
s ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
female ^nn++++=female,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
worker ^nn++++=worker.
. ^zz++++=EXTRAWORD
Interview ^nn++++=Interview,
, ^zz++++=EXTRAWORD
C ^zz++++=C
rdoba ^nn+++??+=rdoba,
, ^zz++++=EXTRAWORD
August ^nr++++=August
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
statement ^nn++++=statement
underscores ^nns+++??+=underscores
the ^ati++++=the
significance ^nn++++=significance
attributed ^vwbn+++xvbn+=attributed
to ^in++++=to
collective ^jj+atrb+++=collective
public ^jj+atrb+++=public
support ^nn++++=support
for ^in++++=for
the ^ati++++=the
work ^nn++++=work
performed ^vpsv++agls+xvbn+=performed.
. ^zz++++=EXTRAWORD
