Vitamin ^nn++++=Vitamin
A ^at++++=A
deficiency ^nn++++=deficiency
among ^in++++=among
non ^&fw++++=non-hospitalized
- ^zz++++=EXTRAWORD
hospitalized ^nn+++??+=EXTRAWORD
children ^nns++++=children
aged ^jj+atrb+++=aged
0 ^zz++++=0
to ^to++++=to
12 ^cd++++=12
years ^nns++++=years
with ^in++++=with
respiratory ^jj+atrb+++=respiratory
tract ^nn++++=tract
infections ^nns++++=infections
was ^vbd+bedz+aux++=was
reported ^vpsv++agls+xvbnx+=reported
at ^rb++++=at
a ^at++++=a
prevalence ^nn+++??+=prevalence
of ^in++++=of
12 ^cd++++=12
46 ^cd++++=46%
% ^zz++++=EXTRAWORD
[ ^zz++++=[19
19 ^cd++++=EXTRAWORD
21 ^cd++++=21],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
severe ^jj+atrb+++=severe
deficiency ^nn++++=deficiency
observed ^vbd+++xvbn+=observed
in ^in++++=in
1.2 ^cd++++=1.2
3.9 ^cd++++=3.9%
% ^zz++++=EXTRAWORD
of ^in++++=of
participants ^nns++++=participants
[ ^zz++++=[19,20].
19,20 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Serum ^nn++++=Serum
retinol ^nn+++??+=retinol
levels ^nns++++=levels
demonstrated ^vbd+vprv++xvbn+=demonstrated
an ^at++++=an
inverse ^jj+atrb+++=inverse
association ^nn++++=association
with ^in++++=with
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
cough ^nn++++=cough
accompanied ^vwbn+++xvbn+=accompanied
by ^in++++=by
fever ^nn++++=fever
( ^zz++++=(p=0.05)
p=0.05 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
[ ^zz++++=[19]
19 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
and ^cc++++=and
with ^in++++=with
increased ^vbd+++xvbn+=increased
total ^jj+atrb+++=total
respiratory ^jj+atrb+++=respiratory
resistance ^nn++++=resistance
in ^in++++=in
individuals ^nns++++=individuals
without ^in++++=without
wheezing ^xvbg+++xvbg+=wheezing
( ^zz++++=(p<0.05)
p<0.05 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
[ ^zz++++=[20].
20 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
with ^in++++=with
vitamin ^nn++++=vitamin
A ^at++++=A
deficiency ^nn++++=deficiency
had ^vb+hv+vrb++=had
a ^at++++=a
higher ^jjr+atrb+++=higher
likelihood ^nn++++=likelihood
of ^in++++=of
admission ^nn++++=admission
to ^in++++=to
the ^ati++++=the
intensive ^jj+atrb+++=intensive
care ^nn++++=care
unit ^nn++++=unit
( ^zz++++=(ICU)
icu ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(p<0.05);
p<0.05 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
association ^nn++++=association
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
significant ^jj++++=significant
after ^in++++=after
adjustment ^nn++++=adjustment
for ^in++++=for
confounding ^nn+++??+=confounding
variables ^nns++++=variables
[ ^zz++++=[21].
21 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
with ^in++++=with
severe ^jj+atrb+++=severe
deficiency ^nn++++=deficiency
were ^vbd+bed+vrb++=were
2.4 ^cd++++=2.4
times ^nns++++=times
more ^rbr++++=more
likely ^jj++++=likely
to ^to+jcmp+++=to
present ^vb++++=present
with ^in++++=with
cough ^nn++++=cough
and ^cc++++=and
fever ^nn++++=fever.
. ^zz++++=EXTRAWORD
An ^at++++=An
increase ^nn++++=increase
of ^in++++=of
10 ^cd++++=10
mg ^nnu++++=mg/dL
in ^in++++=in
plasma ^nn++++=plasma
retinol ^nn+++??+=retinol
