Fear ^vb++++=Fear
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
a ^at++++=a
central ^jj+atrb+++=central
factor ^nn++++=factor
in ^in++++=in
many ^ap++++=many
of ^in++++=of
these ^dt+dem+++=these
conditions ^nns++++=conditions,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
represents ^vbz++++=represents
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
fundamental ^jj++++=fundamental
and ^cc++++=and
evolutionarily ^vb+++??+=evolutionarily
conserved ^vbd+++xvbn+=conserved
human ^jj+atrb+++=human
emotions ^nns++++=emotions.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
primitive ^jj+atrb+++=primitive
response ^nn++++=response,
, ^zz++++=EXTRAWORD
fear ^vb++++=fear
is ^vbz+bez+aux++=is
widely ^rb++splt++=widely
observed ^vpsv++agls+xvbnx+=observed
across ^in+pl+++=across
the ^ati++++=the
animal ^nn++++=animal
kingdom ^npl++++=kingdom
( ^zz++++=(21).
21 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
individuals ^nns++++=individuals
have ^vb+hv+aux++=have
experienced ^vprf+++xvbnx+=experienced
persistent ^jj+atrb+++=persistent
feelings ^nns++++=feelings
of ^in++++=of
helplessness ^nn++++=helplessness
and ^cc++++=and
a ^at++++=a
diminished ^jj+atrb++xvbn+=diminished
sense ^nn++++=sense
of ^in++++=of
security ^nn++++=security,
, ^zz++++=EXTRAWORD
including ^in++++=including
concerns ^nns++++=concerns
about ^in++++=about
financial ^jj+atrb+++=financial
stability ^nn++++=stability
and ^cc++++=and
uncertainty ^nn++++=uncertainty
regarding ^in++++=regarding
the ^ati++++=the
future ^nn++++=future.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fear ^nn++++=fear
of ^in++++=of
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
through ^in++++=through
environmental ^jj+atrb+++=environmental
exposure ^nn++++=exposure
or ^cc++++=or
interpersonal ^jj+atrb++??+=interpersonal
contact ^nn++++=contact,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
contributed ^vprf+++xvbnx+=contributed
to ^to++++=to
increased ^vbi++++=increased
distrust ^nn++++=distrust,
, ^zz++++=EXTRAWORD
avoidance ^nn++++=avoidance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
withdrawal ^nn++++=withdrawal.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
responses ^nns++++=responses
have ^vb+hv+aux++=have
led ^vprf+++xvbnx+=led
to ^in++++=to
a ^at++++=a
reduction ^nn++++=reduction
in ^in++++=in
social ^jj+atrb+++=social
interactions ^nns++++=interactions
and ^cc++++=and
limited ^jj+atrb++xvbn+=limited
opportunities ^nns++++=opportunities
for ^in++++=for
social ^jj+atrb+++=social
support ^nn++++=support,
, ^zz++++=EXTRAWORD
both ^abx++++=both
of ^in++++=of
which ^whp+rel+pied++=which
are ^vb+ber+vrb++=are
critical ^jj+pred+++=critical
for ^in++++=for
adaptive ^nn++++=adaptive
functioning ^vbg+++xvbg+=functioning
( ^zz++++=(22).
22 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
