Among ^in++++=Among
the ^ati++++=the
structural ^jj+atrb+++=structural
proteins ^nns+++??+=proteins
of ^in++++=of
coronaviruses ^nns+++??+=coronaviruses,
, ^zz++++=EXTRAWORD
the ^ati++++=the
spike ^nn+++??+=spike
( ^zz++++=(S),
s ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
envelope ^nn++++=envelope
( ^zz++++=(E),
e ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
membrane ^nn++++=membrane
( ^zz++++=(M),
m ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nucleocapsid ^nn+++??+=nucleocapsid
( ^zz++++=(N)
n ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
proteins ^nns+++??+=proteins
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
essential ^nn++++=essential,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
functions ^nns++++=functions
are ^vb+ber+aux++=are
described ^vpsv++agls+xvbnx+=described
below ^rb++++=below.
. ^zz++++=EXTRAWORD
The ^ati++++=The
S ^zz++++=S
protein ^nn++++=protein
forms ^nns++++=forms
homotrimers ^nns+++??+=homotrimers
that ^tht+rel+obj++=that
protrude ^nn+++??+=protrude
from ^in++++=from
the ^ati++++=the
viral ^nn+++??+=viral
surface ^nn++++=surface,
, ^zz++++=EXTRAWORD
facilitating ^vbg+++xvbg+=facilitating
attachment ^nn++++=attachment
to ^in++++=to
host ^nn++++=host
cell ^nn++++=cell
receptors ^nns+++??+=receptors
( ^zz++++=(Beniac
beniac ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
S ^zz++++=S
protein ^nn++++=protein
has ^vbz+hvz+vrb++=has
a ^at++++=a
molecular ^jj+atrb+++=molecular
mass ^nn++++=mass
of ^in++++=of
approximately ^rb+down+++=approximately
150 ^cd++++=150
kda ^nn+++??+=kDa
and ^cc++++=and
contains ^vbz++++=contains
an ^at++++=an
N ^zz++++=N-terminal
- ^zz++++=EXTRAWORD
terminal ^jj+atrb+++=EXTRAWORD
signal ^nn++++=signal
sequence ^nn++++=sequence
that ^tht+rel+subj++=that
directs ^vbz+vpub+++=directs
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
rough ^jj+atrb+++=rough
endoplasmic ^nn+++??+=endoplasmic
reticulum ^nn+++??+=reticulum
( ^zz++++=(RER)
rer ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
synthesis ^nn++++=synthesis,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
it ^pp3+it+++=it
undergoes ^vbz++++=undergoes
extensive ^jj++++=extensive
N ^zz++++=N-linked
- ^zz++++=EXTRAWORD
linked ^vwbn+++xvbn+=EXTRAWORD
glycosylation ^nn+++??+=glycosylation.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
class ^nn++++=class
I ^pp1a+pp1+++=I
fusion ^nn++++=fusion
glycoprotein ^nn+++??+=glycoprotein,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trimeric ^nn+++??+=trimeric
S ^zz++++=S
protein ^nn++++=protein
mediates ^vbz++++=mediates
binding ^jj++++=binding
to ^in++++=to
host ^nn++++=host
cell ^nn++++=cell
receptors ^nns+++??+=receptors
( ^zz++++=(Bosch
bosch ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Recent ^jj+atrb+++=Recent
studies ^nns++++=studies
have ^vb+hv+aux++=have
identified ^vprf+++xvbnx+=identified
angiotensin ^nn+++??+=angiotensin-converting
- ^zz++++=EXTRAWORD
converting ^vbg+++xvbg+=EXTRAWORD
enzyme ^nn+++??+=enzyme
2 ^zz++++=2
( ^zz++++=(ACE2)
ace2 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
cellular ^jj+atrb+++=cellular
receptor ^nn+++??+=receptor
for ^in++++=for
both ^abx++++=both
Sars ^np+++??+=SARS-CoV
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
and ^cc++++=and
Sars ^np+++??+=SARS-CoV-2,
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
trimeric ^nn+++??+=trimeric
S ^zz++++=S
protein ^nn++++=protein
serving ^vwbg+++xvbg+=serving
as ^ql++++=as
its ^pp$+it+++=its
ligand ^nn+++??+=ligand
( ^zz++++=(Yan
yan ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
serine ^nn+++??+=serine
protease ^nn+++??+=protease
Tmprss2 ^np+++??+=TMPRSS2,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
acts ^nns++++=acts
on ^in++++=on
Ace2 ^np+++??+=ACE2,
, ^zz++++=EXTRAWORD
facilitates ^nns+++??+=facilitates
the ^ati++++=the
entry ^nn++++=entry
of ^in++++=of
Sars ^np+++??+=SARS-CoV
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
and ^cc++++=and
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
into ^in++++=into
host ^nn++++=host
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inhibition ^nn++++=inhibition
of ^in++++=of
Tmprss2 ^np+++??+=TMPRSS2
by ^in++++=by
camostat ^nn+++??+=camostat
mesylate ^nn+++??+=mesylate
partially ^rb+down+++=partially
reduces ^vbz++++=reduces
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection
in ^in++++=in
vitro ^nn++++=vitro
( ^zz++++=(Hoffmann
hoffmann ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
