Health ^nn++++=Health
workers ^nns++++=workers
play ^vb++++=play
a ^at++++=a
critical ^jj+atrb+++=critical
role ^nn++++=role
in ^in++++=in
the ^ati++++=the
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
outbreak ^nn++++=outbreak
and ^cc++++=and
are ^vb+ber+aux++=are
consequently ^rb+cnj+splt++=consequently
exposed ^vpsv++agls+xvbnx+=exposed
to ^in++++=to
a ^at++++=a
range ^nn++++=range
of ^in++++=of
occupational ^jj+atrb+++=occupational
hazards ^nns++++=hazards
that ^tht+rel+obj++=that
increase ^nn++++=increase
their ^pp$+pp3+++=their
risk ^nn++++=risk
of ^in++++=of
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
hazards ^nns++++=hazards
include ^vb++++=include
exposure ^nn++++=exposure
to ^in++++=to
pathogens ^nns++++=pathogens,
, ^zz++++=EXTRAWORD
extended ^jj+atrb++xvbn+=extended
working ^jj+atrb++xvbg+=working
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
psychological ^jj+atrb+++=psychological
distress ^nn++++=distress,
, ^zz++++=EXTRAWORD
fatigue ^nn++++=fatigue,
, ^zz++++=EXTRAWORD
occupational ^jj+atrb+++=occupational
burnout ^nn+++??+=burnout,
, ^zz++++=EXTRAWORD
stigma ^nn++++=stigma,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
both ^abx++++=both
physical ^jj+atrb+++=physical
and ^cc+phrs+++=and
psychological ^jj+atrb+++=psychological
violence ^nn++++=violence
[ ^zz++++=[3].
3 ^zz++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
