Several ^ap++++=Several
studies ^nns++++=studies
have ^vb+hv+aux++=have
contributed ^vprf+++xvbnx+=contributed
to ^in++++=to
the ^ati++++=the
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
geographical ^jj+atrb+++=geographical
distribution ^nn++++=distribution
of ^in++++=of
anamorphic ^nn+++??+=anamorphic
fungi ^nns++++=fungi
in ^in++++=in
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Atlantic ^np++++=Atlantic
rainforest ^nn+++??+=rainforest
( ^zz++++=(Schoenlein-Crusius
schoenlein ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
& ^zz++++=&
Milanez ^np+++??+=Milanez
1989 ^cd+date+++=1989,
, ^zz++++=EXTRAWORD
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
& ^zz++++=&
Milanez ^np+++??+=Milanez
1990 ^cd+date+++=1990,
, ^zz++++=EXTRAWORD
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
& ^zz++++=&
Milanez ^np+++??+=Milanez
1998 ^cd+date+++=1998,
, ^zz++++=EXTRAWORD
Grandi ^np+++??+=Grandi
1998 ^cd+date+++=1998,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999,
, ^zz++++=EXTRAWORD
Gusm ^np+++??+=Gusm
o ^zz++++=o
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2001 ^cd++++=2001,
, ^zz++++=EXTRAWORD
Grandi ^np+++??+=Grandi
& ^zz++++=&
Gusm ^np+++??+=Gusm
o ^zz++++=o
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
Silva ^np+++??+=Silva
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
among ^in++++=among
these ^dt+dem+++=these
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
Silva ^np+++??+=Silva
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2019)
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
included ^vbd+++xvbn+=included
sampling ^nn++++=sampling
sites ^nns++++=sites
located ^vwbn+++xvbn+=located
in ^in++++=in
a ^at++++=a
lentic ^nn++++=lentic
system ^nn++++=system
on ^in++++=on
an ^at++++=an
island ^nn++++=island.
. ^zz++++=EXTRAWORD
