Twenty ^cd++++=Twenty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
taxa ^nn+++??+=taxa
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
occasional ^jj++++=occasional,
, ^zz++++=EXTRAWORD
with ^in++++=with
frequencies ^nns++++=frequencies
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
6.6 ^cd++++=6.6%
% ^zz++++=EXTRAWORD
to ^to++++=to
20 ^cd++++=20%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Blodgettia ^np+++??+=Blodgettia
indica ^nn+++??+=indica
was ^vbd+bedz+aux++=was
recently ^rb+tm+splt++=recently
isolated ^vpsv++agls+xvbnx+=isolated
from ^in++++=from
the ^ati++++=the
leaves ^nns++++=leaves
of ^in++++=of
Caesalpinia ^np+++??+=Caesalpinia
echinata ^nn+++??+=echinata
and ^cc++++=and
Campomanesia ^np+++??+=Campomanesia
phaea ^vb+++??+=phaea
submerged ^vbd+++xvbn+=submerged
in ^in++++=in
a ^at++++=a
lake ^nn++++=lake
at ^rb++++=at
Parque ^np+++??+=Parque
Municipal ^jj+atrb+++=Municipal
Alfredo ^np+++??+=Alfredo
Volpi ^np+++??+=Volpi
( ^zz++++=(Moreira
moreira ^nn+++??+=EXTRAWORD
& ^zz++++=&
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Flagellospora ^np+++??+=Flagellospora
penicillioides ^nns+++??+=penicillioides
was ^vbd+bedz+aux++=was
isolated ^vpsv++agls+xvbnx+=isolated
from ^in++++=from
submerged ^nn++++=submerged
mixed ^vbd+++xvbn+=mixed
leaf ^nn++++=leaf
litter ^nn++++=litter
in ^in++++=in
the ^ati++++=the
Cerrado ^np+++??+=Cerrado
biome ^nn+++??+=biome
( ^zz++++=(Schoenlein-Crusius
schoenlein ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Heliscus ^np+++??+=Heliscus
submersus ^nns+++??+=submersus
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
isolated ^vpsv++agls+xvbnx+=isolated
from ^in++++=from
submerged ^nn++++=submerged
mixed ^vbd+++xvbn+=mixed
leaf ^nn++++=leaf
litter ^nn++++=litter
in ^in++++=in
the ^ati++++=the
Monjolinho ^np+++??+=Monjolinho
and ^cc++++=and
Jacar ^np+++??+=Jacar
rivers ^nns++++=rivers
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Carlos ^np++++=Carlos,
, ^zz++++=EXTRAWORD
Sp ^&fo++++=SP
( ^zz++++=(Malosso
malosso ^nn+++??+=EXTRAWORD
1999 ^cd+date+++=1999).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ingoldiella ^np+++??+=Ingoldiella
hamata ^nn+++??+=hamata
was ^vbd+bedz+aux++=was
reported ^vpsv++by+xvbnx+=reported
by ^in++++=by
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
( ^zz++++=(2002)
2002 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
submerged ^nn++++=submerged
mixed ^vbd+++xvbn+=mixed
leaf ^nn++++=leaf
litter ^nn++++=litter
in ^in++++=in
Itirapina ^np+++??+=Itirapina,
, ^zz++++=EXTRAWORD
Sp ^&fo++++=SP.
. ^zz++++=EXTRAWORD
Jaculispora ^np+++??+=Jaculispora
submersa ^nn+++??+=submersa
was ^vbd+bedz+aux++=was
recently ^rb+tm+splt++=recently
described ^vpsv++by+xvbnx+=described
by ^in++++=by
Fiuza ^np+++??+=Fiuza
& ^zz++++=&
Gusm ^np+++??+=Gusm
o ^zz++++=o
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Serra ^np+++??+=Serra
da ^np++++=da
Jib ^nn++++=Jib
ia ^nn+++??+=ia,
, ^zz++++=EXTRAWORD
a ^at++++=a
semi ^nn+++??+=semi-arid
- ^zz++++=EXTRAWORD
arid ^jj+atrb+++=EXTRAWORD
region ^nn++++=region
of ^in++++=of
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Pyramidospora ^np+++??+=Pyramidospora
casuarinae ^nn+++??+=casuarinae
was ^vbd+bedz+aux++=was
recorded ^vpsv++agls+xvbnx+=recorded
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
South ^np+pl+++=South
America ^np++++=America
by ^in++++=by
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
