Despite ^in++++=Despite
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
restrictive ^jj+atrb+++=restrictive
social ^jj+atrb+++=social
isolation ^nn++++=isolation
measures ^nns++++=measures
by ^in++++=by
health ^nn++++=health
authorities ^nns++++=authorities
worldwide ^nn+++??+=worldwide
to ^in++++=to
slow ^jj++++=slow
the ^ati++++=the
transmission ^nn++++=transmission
of ^in++++=of
the ^ati++++=the
virus ^nn++++=virus,
, ^zz++++=EXTRAWORD
reduce ^vb++++=reduce
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
patients ^nns++++=patients
requiring ^vwbg+vsua++xvbg+=requiring
hospitalization ^nn+++??+=hospitalization,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prevent ^vb++++=prevent
overburdening ^nn+++??+=overburdening
or ^cc++++=or
collapse ^nn++++=collapse
of ^in++++=of
healthcare ^nn+++??+=healthcare
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
the ^ati++++=the
incidence ^nn++++=incidence
of ^in++++=of
infections ^nns++++=infections
and ^cc++++=and
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths
attributable ^jj++++=attributable
to ^in++++=to
the ^ati++++=the
disease ^nn++++=disease
continue ^vb++++=continue
to ^in++++=to
increase ^nn++++=increase.
. ^zz++++=EXTRAWORD
