During ^in++++=During
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
outbreak ^nn++++=outbreak,
, ^zz++++=EXTRAWORD
schools ^nns++++=schools
in ^in++++=in
China ^np++++=China
were ^vbd+bed+aux++=were
closed ^vpsv++agls+xvbnx+=closed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
students ^nns++++=students
were ^vbd+bed+aux++=were
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
remain ^vbi++++=remain
at ^rb++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Primary ^jj+atrb+++=Primary
and ^cc+phrs+++=and
secondary ^jj+atrb+++=secondary
schools ^nns++++=schools
established ^vbd+vprv++xvbn+=established
official ^jj+atrb+++=official
online ^nn+++??+=online
educational ^jj+atrb+++=educational
platforms ^nns++++=platforms
to ^to++++=to
enable ^vbi++++=enable
students ^nns++++=students
to ^to++++=to
continue ^vbi++++=continue
their ^pp$+pp3+++=their
education ^nn++++=education
( ^zz++++=(47).
47 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
parents ^nns++++=parents
assumed ^vwbn+vprv++xvbn+=assumed
increased ^vprf+++xvbn+=increased
educational ^jj+atrb+++=educational
responsibilities ^nns++++=responsibilities
in ^in++++=in
addition ^nn++++=addition
to ^to++++=to
managing ^vbg+++xvbg+=managing
their ^pp$+pp3+++=their
children ^nns++++=children's
's ^vbz+bez+vrb++0=EXTRAWORD
emotional ^jj+atrb+++=emotional
and ^cc+phrs+++=and
behavioral ^jj+atrb+++=behavioral
issues ^nns++++=issues
continuously ^rb++++=continuously
throughout ^in++++=throughout
the ^ati++++=the
week ^nn++++=week.
. ^zz++++=EXTRAWORD
