Coronaviruses ^np+++??+=Coronaviruses
possess ^vb++++=possess
the ^ati++++=the
largest ^jjt+atrb+++=largest
genomes ^nns+++??+=genomes
among ^in++++=among
Rna ^np+++??+=RNA
viruses ^nns++++=viruses,
, ^zz++++=EXTRAWORD
with ^in++++=with
genome ^nn+++??+=genome
sizes ^nns++++=sizes
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
26 ^cd++++=26
to ^to++++=to
32 ^cd++++=32
kilobases ^nns++++=kilobases
( ^zz++++=(Terada
terada ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
