Conventional ^jj+atrb+++=Conventional
medical ^jj+atrb+++=medical
treatments ^nns++++=treatments
primarily ^rb+down+++=primarily
involve ^vb++++=involve
pharmaceutical ^jj+atrb+++=pharmaceutical
drugs ^nns++++=drugs
and ^cc++++=and
psychological ^jj+atrb+++=psychological
therapy ^nn++++=therapy
( ^zz++++=(53).
53 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
alternative ^jj+atrb+++=alternative
and ^cc+phrs+++=and
complementary ^jj+atrb+++=complementary
therapies ^nns+++??+=therapies,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
manipulative ^jj++++=manipulative
or ^cc++++=or
body ^nn++++=body-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
techniques ^nns++++=techniques,
, ^zz++++=EXTRAWORD
attention ^nn++++=attention-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
music ^nn++++=music
therapy ^nn++++=therapy,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
serve ^vb++++=serve
as ^in++++=as
important ^jj+atrb+++=important
adjuncts ^nns++++=adjuncts
to ^in++++=to
standard ^jj+atrb+++=standard
treatment ^nn++++=treatment
and ^cc++++=and
can ^md+pos+++=can
potentially ^rb++splt++=potentially
reduce ^vb++++=reduce
the ^ati++++=the
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects
associated ^vbd+++xvbn+=associated
with ^in++++=with
pharmaceutical ^jj+atrb+++=pharmaceutical
drugs ^nns++++=drugs
( ^zz++++=(54,
54 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
55 ^cd++++=55).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Evidence ^nn++++=Evidence
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
these ^dt+dem+++=these
therapies ^nns+++??+=therapies
can ^md+pos+++=can
assist ^vb++++=assist
in ^in++++=in
reducing ^xvbg+++xvbg+=reducing
symptoms ^nns++++=symptoms
of ^in++++=of
Adhd ^np+++??+=ADHD/ADD,
autism ^nn+++??+=autism,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
depression ^nn++++=depression,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stress ^nn++++=stress
in ^in++++=in
children ^nns++++=children
( ^zz++++=(56,
56 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
57 ^cd++++=57).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Numerous ^jj+atrb+++=Numerous
studies ^nns++++=studies
have ^vb+hv+aux++=have
suggested ^vprf+++xvbnx+=suggested
that ^tht+vcmp+++=that
mindfulness ^nns+++??+=mindfulness-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
including ^in++++=including
yoga ^nn+++??+=yoga,
, ^zz++++=EXTRAWORD
tai ^nn+++??+=tai
chi ^np++++=chi,
, ^zz++++=EXTRAWORD
qigong ^nn+++??+=qigong,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
meditation ^nn++++=meditation,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+vrb++=be
beneficial ^jj+atrb+++=beneficial
adjuncts ^nns++++=adjuncts
in ^in++++=in
the ^ati++++=the
treatment ^nn++++=treatment
of ^in++++=of
mental ^jj+atrb+++=mental
health ^nn++++=health
disorders ^nns++++=disorders,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
mood ^nn++++=mood
and ^cc++++=and
anxiety ^nn++++=anxiety
disorders ^nns++++=disorders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^to++++=to
improved ^vbi++++=improved
quality ^nn++++=quality
of ^in++++=of
life ^nn++++=life
( ^zz++++=(58).
58 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Mindfulness ^np+++??+=Mindfulness
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
the ^ati++++=the
intentional ^jj++++=intentional,
, ^zz++++=EXTRAWORD
accepting ^jj+++xvbg+=accepting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
non ^&fw++++=non-judgmental
- ^zz++++=EXTRAWORD
judgmental ^nn+++??+=EXTRAWORD
focus ^nn++++=focus
of ^in++++=of
attention ^nn++++=attention
on ^in++++=on
present ^jj++++=present-moment
- ^zz++++=EXTRAWORD
moment ^nn++++=EXTRAWORD
emotions ^nns++++=emotions,
, ^zz++++=EXTRAWORD
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sensations ^nns++++=sensations
( ^zz++++=(59).
59 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
