Zhang ^np+++??+=Zhang
and ^cc++++=and
Liu ^np+++??+=Liu
[ ^zz++++=[38]
38 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
discuss ^vb++++=discuss
potential ^jj+atrb+++=potential
nutritional ^jj+atrb+++=nutritional
interventions ^nns++++=interventions
for ^in++++=for
2019 ^cd++++=2019-nCoV
- ^zz++++=EXTRAWORD
ncov ^nn+++??+=EXTRAWORD
and ^cc++++=and
propose ^vb++++=propose
that ^tht+vcmp+++=that
vitamin ^nn++++=vitamin
A ^at++++=A
may ^md+pos+++=may
be ^vb+be+vrb++=be
a ^at++++=a
promising ^jj+atrb+++=promising
strategy ^nn++++=strategy
for ^in++++=for
the ^ati++++=the
treatment ^nn++++=treatment
and ^cc++++=and
prevention ^nn++++=prevention
of ^in++++=of
lung ^nn++++=lung
infections ^nns++++=infections;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
provide ^vb+vsua+++=provide
specific ^jj+atrb+++=specific
recommendations ^nns++++=recommendations
regarding ^in++++=regarding
dosages ^nns++++=dosages
or ^cc++++=or
supplementation ^nn++++=supplementation
protocols ^nns++++=protocols.
. ^zz++++=EXTRAWORD
