There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
evidence ^nn++++=evidence
that ^tht+rel+++=that
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
mechanisms ^nns++++=mechanisms
by ^in++++=by
which ^whp+rel+pied++=which
yoga ^nn+++??+=yoga
improves ^vbz++++=improves
mood ^nn++++=mood
in ^in++++=in
individuals ^nns++++=individuals
with ^in++++=with
major ^jj+atrb+++=major
depressive ^nn+++??+=depressive
disorder ^nn++++=disorder
is ^vbz+bez+aux++=is
through ^in++++=through
increased ^vbd+++xvbn+=increased
activity ^nn++++=activity
of ^in++++=of
the ^ati++++=the
Gabaergic ^np+++??+=GABAergic
system ^nn++++=system
( ^zz++++=(63).
63 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Studies ^nns++++=Studies
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
yoga ^nn+++??+=yoga
practitioners ^nns++++=practitioners
exhibit ^vb++++=exhibit
enhanced ^vbd+++xvbn+=enhanced
functioning ^vbg+++xvbg+=functioning
in ^in++++=in
the ^ati++++=the
superior ^jj+atrb+++=superior
parietal ^nn+++??+=parietal
lobule ^nn+++??+=lobule
and ^cc++++=and
supramarginal ^nn+++??+=supramarginal
gyrus ^nns+++??+=gyrus
of ^in++++=of
the ^ati++++=the
cerebral ^jj+atrb+++=cerebral
cortex ^nn++++=cortex
( ^zz++++=(64).
64 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
practice ^nn++++=practice
of ^in++++=of
Ashtanga ^np+++??+=Ashtanga
Yoga ^np+++??+=Yoga
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
decreased ^vprf+++xvbn+=decreased
regional ^jj+atrb+++=regional
glucose ^nn++++=glucose
metabolism ^nn++++=metabolism
in ^in++++=in
the ^ati++++=the
medial ^nn+++??+=medial
temporal ^jj+atrb+++=temporal
cortex ^nn++++=cortex,
, ^zz++++=EXTRAWORD
striatum ^nn+++??+=striatum,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brainstem ^nn+++??+=brainstem
( ^zz++++=(65).
65 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
brainstem ^nn+++??+=brainstem
contains ^vbz++++=contains
the ^ati++++=the
periaqueductal ^nn+++??+=periaqueductal
grey ^np++++=grey
matter ^nn++++=matter
( ^zz++++=(PAG),
pag ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
serves ^vbz++++=serves
as ^in++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
output ^nn++++=output
of ^in++++=of
the ^ati++++=the
encephalic ^nn+++??+=encephalic
aversion ^nn++++=aversion
system ^nn++++=system
and ^cc++++=and
whose ^whp+rel+obj++=whose
activation ^nn+++??+=activation
induces ^vbz++++=induces
unconditioned ^nn+++??+=unconditioned
fear ^vb++++=fear
and ^cc++++=and
panic ^nn++++=panic
attack ^nn++++=attack-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
behaviors ^nns+++??+=behaviors
( ^zz++++=(66).
66 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
both ^abx++++=both
meditation ^nn++++=meditation
and ^cc++++=and
yoga ^nn+++??+=yoga
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
linked ^vpsv++agls+xvbnx+=linked
to ^to++++=to
significantly ^rb++splt++=significantly
reduced ^vbi++++=reduced
right ^jj+atrb+++=right
amygdala ^nn+++??+=amygdala
volume ^nn++++=volume
( ^zz++++=(67).
67 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Neurons ^np+++??+=Neurons
in ^in++++=in
both ^abx++++=both
the ^ati++++=the
Pag ^np+++??+=PAG
and ^cc++++=and
the ^ati++++=the
amygdaloid ^nn+++??+=amygdaloid
complex ^jj++++=complex
are ^vb+ber+vrb++=are
also ^rb++++=also
spontaneously ^rb++++=spontaneously
activated ^nn++++=activated
in ^in++++=in
response ^nn++++=response
to ^in++++=to
threatening ^jj+atrb+++=threatening
situations ^nns++++=situations
( ^zz++++=(68).
68 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
