With ^in++++=With
these ^dt+dem+++=these
differences ^nns++++=differences
in ^in++++=in
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
noteworthy ^jj+pred+++=noteworthy
that ^tht+jcmp+++=that
both ^abx++++=both
groups ^nns++++=groups
exhibited ^vbd+++xvbn+=exhibited
similarly ^rb+cnj+++=similarly
positive ^jj+atrb+++=positive
attitudes ^nns++++=attitudes
toward ^in++++=toward
the ^ati++++=the
current ^jj+atrb+++=current
system ^nn++++=system
of ^in++++=of
scholarly ^jj+atrb+++=scholarly
communication ^nn++++=communication,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
toward ^in++++=toward
open ^jj+atrb+++=open
access ^nn++++=access,
, ^zz++++=EXTRAWORD
open ^jj+atrb+++=open
data ^nns++++=data,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
open ^jj+atrb+++=open
peer ^nn++++=peer
review ^nn++++=review
in ^in++++=in
general ^nn++++=general.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
attitudes ^nns++++=attitudes
toward ^in++++=toward
most ^ql+emph+++=most
individual ^jj+atrb+++=individual
aspects ^nns++++=aspects
of ^in++++=of
open ^jj+atrb+++=open
peer ^nn++++=peer
review ^nn++++=review
were ^vbd+bed+vrb++=were
also ^rb++++=also
comparable ^jj+pred+++=comparable
between ^in++++=between
the ^ati++++=the
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
the ^ati++++=the
issue ^nn++++=issue
of ^in++++=of
open ^jj+atrb+++=open
identities ^nns++++=identities
warrants ^nns++++=warrants
further ^jjb+atrb+++=further
investigation ^nn++++=investigation.
. ^zz++++=EXTRAWORD
