Results ^nns++++=RESULTS:
: ^zz++++=EXTRAWORD
Six ^cd++++=Six
articles ^nns++++=articles
met ^vbd+++xvbn+=met
the ^ati++++=the
inclusion ^nn++++=inclusion
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
which ^whp+rel+pied++=which
addressed ^xvbn+++xvbn+=addressed
deficiencies ^nns++++=deficiencies
in ^in++++=in
vitamins ^nns++++=vitamins
A ^at++++=A
and ^cc++++=and
D ^zz++++=D.
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
vitamin ^nn++++=vitamin
A ^at++++=A
deficiency ^nn++++=deficiency
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
increased ^jj+atrb++xvbn+=increased
incidence ^nn++++=incidence
of ^in++++=of
cough ^nn++++=cough,
, ^zz++++=EXTRAWORD
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
elevated ^vbd+++xvbn+=elevated
total ^jj+atrb+++=total
respiratory ^jj+atrb+++=respiratory
resistance ^nn++++=resistance.
. ^zz++++=EXTRAWORD
In ^in++++=In
relation ^nn++++=relation
to ^in++++=to
vitamin ^nn++++=vitamin
D ^zz++++=D,
, ^zz++++=EXTRAWORD
deficiency ^nn++++=deficiency
was ^vbd+bedz+aux++=was
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
higher ^jjr+atrb+++=higher
rates ^nns++++=rates
of ^in++++=of
intensive ^jj+atrb+++=intensive
care ^nn++++=care
unit ^nn++++=unit
admission ^nn++++=admission,
, ^zz++++=EXTRAWORD
increased ^jj+atrb++xvbn+=increased
need ^nn++++=need
for ^in++++=for
mechanical ^jj+atrb+++=mechanical
ventilation ^nn++++=ventilation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
greater ^jjr+atrb+++=greater
mortality ^nn++++=mortality.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
evidence ^nn++++=evidence
establishing ^vwbg+++xvbg+=establishing
specific ^jj+atrb+++=specific
relationships ^nns++++=relationships
between ^in++++=between
nutritional ^jj+atrb+++=nutritional
deficiencies ^nns++++=deficiencies
and ^cc++++=and
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
remains ^vbz++++=remains
limited ^vbd+++xvbn+=limited
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
small ^jj+atrb+++=small
number ^nn++++=number
of ^in++++=of
studies ^nns++++=studies
and ^cc++++=and
heterogeneity ^nn++++=heterogeneity
among ^in++++=among
population ^nn++++=population
subgroups ^nns++++=subgroups.
. ^zz++++=EXTRAWORD
