Regarding ^in++++=Regarding
the ^ati++++=the
classes ^nns++++=classes
attended ^vwbn+++xvbn+=attended
by ^in++++=by
the ^ati++++=the
participants ^nns++++=participants,
, ^zz++++=EXTRAWORD
53 ^cd++++=53%
% ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
enrolled ^vpsv++agls+xvbnx+=enrolled
in ^in++++=in
Basic ^jj+atrb+++=Basic
General ^jj+atrb+++=General
Education ^nn++++=Education,
, ^zz++++=EXTRAWORD
18 ^cd++++=18%
% ^zz++++=EXTRAWORD
in ^in++++=in
Initial ^jj+atrb+++=Initial
Education ^nn++++=Education,
, ^zz++++=EXTRAWORD
12 ^cd++++=12%
% ^zz++++=EXTRAWORD
in ^in++++=in
Special ^jj+atrb+++=Special
Education ^nn++++=Education,
, ^zz++++=EXTRAWORD
11 ^cd++++=11%
% ^zz++++=EXTRAWORD
in ^in++++=in
Intercultural ^np+++??+=Intercultural
Bilingual ^np+++??+=Bilingual
Education ^nn++++=Education,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
in ^in++++=in
Experimental ^jj+atrb+++=Experimental
Sciences ^nns++++=Sciences
Education ^nn++++=Education.
. ^zz++++=EXTRAWORD
In ^in++++=In
terms ^nns++++=terms
of ^in++++=of
distribution ^nn++++=distribution
by ^in++++=by
semester ^nn+++??+=semester
cycles ^nns++++=cycles,
, ^zz++++=EXTRAWORD
34 ^cd++++=34%
% ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
in ^in++++=in
the ^ati++++=the
first ^od++++=first
cycle ^nn++++=cycle,
, ^zz++++=EXTRAWORD
20 ^cd++++=20%
% ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
second ^od++++=second
cycle ^nn++++=cycle,
, ^zz++++=EXTRAWORD
18 ^cd++++=18%
% ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
third ^nn++++=third
cycle ^nn++++=cycle,
, ^zz++++=EXTRAWORD
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
fifth ^nn++++=fifth
cycle ^nn++++=cycle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
9 ^zz++++=9%
% ^zz++++=EXTRAWORD
in ^in++++=in
both ^abx++++=both
the ^ati++++=the
fourth ^od++++=fourth
and ^cc++++=and
sixth ^od++++=sixth
cycles ^nns++++=cycles,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
