Aquatic ^jj+atrb+++=Aquatic
anamorphic ^nn+++??+=anamorphic
fungi ^nns++++=fungi,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
represent ^vb++++=represent
a ^at++++=a
phylogenetically ^nn+++??+=phylogenetically
diverse ^jj+atrb+++=diverse
group ^nn++++=group
( ^zz++++=(Belliveau
belliveau ^nn+++??+=EXTRAWORD
& ^zz++++=&
Barlocher ^np+++??+=Barlocher
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
Duarte ^np+++??+=Duarte
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
classified ^vpsv++agls+xvbnx+=classified
into ^in++++=into
four ^cd++++=four
categories ^nns++++=categories
based ^vwbn+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
tolerance ^nn++++=tolerance
to ^in++++=to
submergence ^nn+++??+=submergence
and ^cc++++=and
their ^pp$+pp3+++=their
specific ^jj+atrb+++=specific
requirements ^nns++++=requirements
for ^in++++=for
water ^nn++++=water
during ^in++++=during
conidiogenesis ^nns+++??+=conidiogenesis:
: ^zz++++=EXTRAWORD
aeroaquatic ^nn+++??+=aeroaquatic
hyphomycetes ^nns+++??+=hyphomycetes,
, ^zz++++=EXTRAWORD
terrestrial ^jj+atrb+++=terrestrial
aquatic ^jj+atrb+++=aquatic
hyphomycetes ^nns+++??+=hyphomycetes,
, ^zz++++=EXTRAWORD
submerged ^jj+atrb++xvbn+=submerged
aquatic ^jj+atrb+++=aquatic
hyphomycetes ^nns+++??+=hyphomycetes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ingoldian ^nn++++=ingoldian
hyphomycetes ^nns++++=hyphomycetes
( ^zz++++=(Goh
goh ^nn++++=EXTRAWORD
& ^zz++++=&
hyde ^np++++=Hyde
1996 ^cd+date+++=1996).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
