A ^at++++=A
total ^nn++++=total
of ^in++++=of
61 ^cd++++=61%
% ^zz++++=EXTRAWORD
of ^in++++=of
students ^nns++++=students
reported ^vbd+vpub++xvbn+=reported
regularly ^rb++++=regularly
listening ^nvbg+++xvbg+=listening
to ^in++++=to
the ^ati++++=the
radio ^nn++++=radio,
, ^zz++++=EXTRAWORD
with ^in++++=with
37 ^cd++++=37%
% ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
female ^nn++++=female
and ^cc++++=and
23 ^cd++++=23%
% ^zz++++=EXTRAWORD
male ^jj++++=male.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+dem+++=these
students ^nns++++=students,
, ^zz++++=EXTRAWORD
28 ^cd++++=28%
% ^zz++++=EXTRAWORD
listened ^vbd+++xvbn+=listened
to ^in++++=to
the ^ati++++=the
radio ^nn++++=radio
daily ^jj++++=daily,
, ^zz++++=EXTRAWORD
26 ^cd++++=26%
% ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
once ^rb+tm+++=once
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
7 ^zz++++=7%
% ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
once ^rb+tm+++=once
a ^at++++=a
month ^nn++++=month.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
the ^ati++++=the
duration ^nn++++=duration
of ^in++++=of
radio ^nn++++=radio
listening ^vwbg+++xvbg+=listening
from ^in++++=from
Monday ^nr++++=Monday
to ^in++++=to
Friday ^nr++++=Friday,
, ^zz++++=EXTRAWORD
47 ^cd++++=47%
% ^zz++++=EXTRAWORD
of ^in++++=of
university ^nn++++=university
students ^nns++++=students
spent ^vbd+++xvbn+=spent
between ^in++++=between
one ^cd1++++=one
and ^cc++++=and
two ^cd++++=two
hours ^nns++++=hours
per ^nnu++++=per
day ^nn++++=day,
, ^zz++++=EXTRAWORD
8 ^zz++++=8%
% ^zz++++=EXTRAWORD
listened ^vbd+++xvbn+=listened
for ^in++++=for
three ^cd++++=three
to ^to++++=to
four ^cd++++=four
hours ^nns++++=hours
per ^nnu++++=per
day ^nn++++=day,
, ^zz++++=EXTRAWORD
4 ^zz++++=4%
% ^zz++++=EXTRAWORD
for ^in++++=for
five ^cd++++=five
to ^to++++=to
six ^cd++++=six
hours ^nns++++=hours
per ^nnu++++=per
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
for ^in++++=for
more ^rbr++++=more
than ^in++++=than
six ^cd++++=six
hours ^nns++++=hours
per ^nnu++++=per
day ^nn++++=day.
. ^zz++++=EXTRAWORD
In ^in++++=In
terms ^nns++++=terms
of ^in++++=of
program ^nn+++??+=program
preferences ^nns++++=preferences,
, ^zz++++=EXTRAWORD
musical ^jj+atrb+++=musical
programs ^nns+++??+=programs
were ^vbd+bed+vrb++=were
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
listened ^vbd+++xvbn+=listened
to ^to++++=to
( ^zz++++=(27%),
27% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
news ^nn++++=news
and ^cc++++=and
information ^nn++++=information
( ^zz++++=(12%),
12% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
entertainment ^nn++++=entertainment
programs ^nns+++??+=programs
( ^zz++++=(8%),
8% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
music ^nn++++=music
concerts ^nns++++=concerts
( ^zz++++=(6%),
6% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sports ^nns++++=sports
( ^zz++++=(3%),
3% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
cultural ^jj+atrb+++=cultural
programs ^nns+++??+=programs
( ^zz++++=(1%),
1% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
discussion ^nn++++=discussion
panels ^nns++++=panels
( ^zz++++=(1%)
1 ^zz++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
figure ^nn++++=Figure
5 ^zz++++=5).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
