Controls ^vbz++++=Controls:
: ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
control ^nn++++=control
experiments ^nns++++=experiments,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
only ^rb+down+++=only
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
insect ^nn++++=insect
species ^nn++++=species
was ^vbd+bedz+aux++=was
present ^vb++++=present,
, ^zz++++=EXTRAWORD
both ^abx++++=both
the ^ati++++=the
triatomine ^nn+++??+=triatomine
bug ^nn++++=bug
and ^cc++++=and
the ^ati++++=the
cockroach ^nn++++=cockroach
exhibited ^vbd+++xvbn+=exhibited
behaviors ^nns++++=behaviors
similar ^jj++++=similar
to ^in++++=to
those ^dt+dem+++=those
observed ^jj++++=observed
during ^in++++=during
phase ^nn++++=phase
i ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
