Qi ^np+++??+=Qi
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
[ ^zz++++=[31],
31 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
survey ^nn++++=survey
involving ^vwbg+++xvbg+=involving
684 ^cd++++=684
Chinese ^jj+atrb+++=Chinese
children ^nns++++=children
aged ^jj++++=aged
5 ^zz++++=5
months ^nns++++=months
to ^to++++=to
12 ^cd++++=12
years ^nns++++=years,
, ^zz++++=EXTRAWORD
found ^vb+++xvbn+=found
that ^tht+vcmp+++=that
vitamin ^nn++++=vitamin
A ^at++++=A
deficiency ^nn++++=deficiency
( ^zz++++=(retinol
retinol ^nn+++??+=EXTRAWORD
< ^zz++++=<0.2
0.2 ^nn+++??+=EXTRAWORD
mg ^nnu++++=mg/L)
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
developing ^xvbg+++xvbg+=developing
acute ^jj+atrb+++=acute
respiratory ^jj+atrb+++=respiratory
tract ^nn++++=tract
infection ^nn++++=infection
( ^zz++++=(p<0.05).
p<0.05 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
findings ^nns++++=findings
should ^md+nec+++=should
be ^vb+be+aux++=be
interpreted ^vpsv++agls+xvbnx+=interpreted
with ^in++++=with
caution ^nn++++=caution,
, ^zz++++=EXTRAWORD
as ^in++++=as
vitamin ^nn++++=vitamin
A ^at++++=A
concentrations ^nns++++=concentrations
are ^vb+ber+aux++=are
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
decrease ^vb++++=decrease
during ^in++++=during
infectious ^nns+++??+=infectious
conditions ^nns++++=conditions
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
acute ^jj+atrb+++=acute
phase ^nn++++=phase
response ^nn++++=response,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
confound ^vb++++=confound
the ^ati++++=the
observed ^jj+atrb+++=observed
association ^nn++++=association
[ ^zz++++=[32].
32 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
