All ^abn++++=All
university ^npl++++=university
students ^nns++++=students
in ^in++++=in
the ^ati++++=the
sample ^nn++++=sample
reported ^vbd+vpub++xvbn+=reported
watching ^vbg+++xvbg+=watching
videos ^nns+++??+=videos,
, ^zz++++=EXTRAWORD
with ^in++++=with
63 ^cd++++=63%
% ^zz++++=EXTRAWORD
of ^in++++=of
viewers ^nns++++=viewers
being ^vwbg+beg++xvbg+=being
women ^nns++++=women
and ^cc++++=and
37 ^cd++++=37%
% ^zz++++=EXTRAWORD
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
77 ^cd++++=77%
% ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
daily ^jj+atrb+++=daily
viewing ^jj+atrb++xvbg+=viewing
frequency ^nn++++=frequency.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
content ^nn++++=content
preferences ^nns++++=preferences,
, ^zz++++=EXTRAWORD
31 ^cd++++=31%
% ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
watch ^vb++++=watch
musicals ^nns++++=musicals,
, ^zz++++=EXTRAWORD
23 ^cd++++=23%
% ^zz++++=EXTRAWORD
watch ^vb++++=watch
series ^nn++++=series,
, ^zz++++=EXTRAWORD
15 ^cd++++=15%
% ^zz++++=EXTRAWORD
watch ^vb++++=watch
documentaries ^nns+++??+=documentaries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
watch ^vb++++=watch
educational ^jj+atrb+++=educational
programs ^nns+++??+=programs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
commonly ^rb++++=commonly
used ^xvbn+++xvbn+=used
devices ^nns++++=devices
for ^in++++=for
viewing ^xvbg+++xvbg+=viewing
are ^vb+ber+vrb++=are
cell ^nn++++=cell
phones ^nns++++=phones
( ^zz++++=(47%),
47% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
computers ^nns++++=computers
( ^zz++++=(42%)
42 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
tablets ^nns++++=tablets
( ^zz++++=(3%).
3% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
terms ^nns++++=terms
of ^in++++=of
video ^nn+++??+=video
sources ^nns++++=sources,
, ^zz++++=EXTRAWORD
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
of ^in++++=of
students ^nns++++=students
obtain ^vb++++=obtain
videos ^nns+++??+=videos
illegally ^rb++++=illegally
from ^in++++=from
the ^ati++++=the
internet ^nn+++??+=internet,
, ^zz++++=EXTRAWORD
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
use ^nn++++=use
streaming ^vwbg+++xvbg+=streaming
services ^nns++++=services,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
acquire ^vb++++=acquire
them ^pp3o+pp3+++=them
from ^in++++=from
video ^nn++++=video
stores ^nns++++=stores.
. ^zz++++=EXTRAWORD
