Application ^nn++++=Application
of ^in++++=of
Lotka ^np++++=Lotka's
's ^$++++=EXTRAWORD
law ^nn++++=law
reveals ^vbz+vprv+++=reveals
an ^at++++=an
inverse ^jj+atrb+++=inverse
relationship ^nn++++=relationship
between ^in++++=between
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
authors ^nns++++=authors
and ^cc++++=and
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
articles ^nns++++=articles
produced ^vbd+++xvbn+=produced,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
as ^ql++++=as
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
articles ^nns++++=articles
increases ^nns++++=increases,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
contributing ^xvbg+++xvbg+=contributing
authors ^nns++++=authors
decreases ^vbz++++=decreases.
. ^zz++++=EXTRAWORD
The ^ati++++=The
constant ^nn++++=constant
identified ^vwbn+++xvbn+=identified
in ^in++++=in
Figure ^nn++++=Figure
2 ^zz++++=2
supports ^nns++++=supports
the ^ati++++=the
established ^jj+atrb++xvbn+=established
principle ^nn++++=principle
that ^tht+ncmp+++=that
a ^at++++=a
small ^jj+atrb+++=small
number ^nn++++=number
of ^in++++=of
authors ^nns++++=authors
contribute ^vb++++=contribute
a ^at++++=a
large ^jj+atrb+++=large
proportion ^nn++++=proportion
of ^in++++=of
publications ^nns++++=publications,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
many ^ap++++=many
authors ^nns++++=authors
contribute ^vb++++=contribute
fewer ^ap++++=fewer
works ^nns++++=works.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^jj+atrb++xvbg+=finding
addresses ^nns++++=addresses
the ^ati++++=the
constraints ^nn++++=constraints
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
biosafety ^nn+++??+=biosafety
level ^nn++++=level
4 ^zz++++=4
requirement ^nn++++=requirement
for ^in++++=for
Sars ^np+++??+=SARS
research ^nn++++=research
and ^cc++++=and
is ^vbz+bez+aux++=is
directly ^rb++splt++=directly
linked ^vpsv++agls+xvbnx+=linked
to ^to++++=to
increased ^vbi++++=increased
funding ^nn+++??+=funding
for ^in++++=for
studies ^nns++++=studies
on ^in++++=on
infectious ^nns+++??+=infectious
diseases ^nns++++=diseases
such ^abl++++=such
as ^ql++++=as
Hiv ^np+++??+=HIV/AIDS.
Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
reported ^vprf+++xvbnx+=reported
that ^tht+vcmp+++=that
funding ^nn+++??+=funding
positively ^rb++++=positively
influences ^nns++++=influences
research ^nn++++=research
outcomes ^nns+++??+=outcomes
and ^cc++++=and
the ^ati++++=the
citation ^nn++++=citation
rates ^nns++++=rates
of ^in++++=of
publications ^nns++++=publications
related ^vpsv++agls+xvbn+=related
to ^in++++=to
specific ^jj+atrb+++=specific
diseases ^nns++++=diseases.
. ^zz++++=EXTRAWORD
