Recent ^jj+atrb+++=Recent
proposals ^nns++++=proposals
emphasize ^vb++++=emphasize
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
analyzing ^nn+++??+=analyzing
the ^ati++++=the
structural ^jj+atrb+++=structural
impact ^nn++++=impact
of ^in++++=of
identified ^xvbn+++xvbn+=identified
categories ^nns++++=categories
on ^in++++=on
the ^ati++++=the
timing ^nn++++=timing
and ^cc++++=and
experience ^nn++++=experience
of ^in++++=of
stigma ^nn++++=stigma,
, ^zz++++=EXTRAWORD
including ^in++++=including
both ^abx++++=both
the ^ati++++=the
occurrence ^nn++++=occurrence
of ^in++++=of
stigma ^nn++++=stigma
and ^cc++++=and
the ^ati++++=the
anticipation ^nn++++=anticipation
of ^in++++=of
stigmatization ^nn+++??+=stigmatization.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
examine ^vbi++++=examine
how ^wrb+who+++=how
an ^at++++=an
individual ^jj+atrb+++=individual's
's ^vbz+bez+vrb++0=EXTRAWORD
experience ^nn++++=experience
of ^in++++=of
stigma ^nn++++=stigma
is ^vbz+bez+aux++=is
shaped ^vpsv++by+xvbnx+=shaped
by ^in++++=by
the ^ati++++=the
intersection ^nn++++=intersection
of ^in++++=of
multiple ^jj+atrb+++=multiple
social ^jj+atrb+++=social
categories ^nns++++=categories,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
race ^vb++++=race
or ^cc++++=or
ethnicity ^nn+++??+=ethnicity,
, ^zz++++=EXTRAWORD
class ^nn++++=class,
, ^zz++++=EXTRAWORD
gender ^nn++++=gender,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
age ^nn++++=age,
, ^zz++++=EXTRAWORD
among ^in++++=among
others ^aps++++=others
( ^zz++++=(Collins,
collins ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
von ^&fw++++=Von
unger ^np++++=Unger,
, ^zz++++=EXTRAWORD
& ^zz++++=&
armbrister ^np++++=Armbrister,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
