Sars ^np+++??+=SARS-CoV
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
to ^to+vcmp+++=to
induce ^vbi++++=induce
cell ^nn++++=cell
cycle ^nn++++=cycle
arrest ^nn++++=arrest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
nucleocapsid ^nn+++??+=nucleocapsid
protein ^nn++++=protein
arrests ^nns++++=arrests
the ^ati++++=the
cell ^nn++++=cell
cycle ^nn++++=cycle
at ^in++++=at
the ^ati++++=the
S ^zz++++=S
phase ^nn++++=phase
by ^in++++=by
directly ^rb++++=directly
interacting ^jj++++=interacting
with ^in++++=with
cyclin ^nn+++??+=cyclin
D ^zz++++=D
and ^cc++++=and
inhibiting ^jj++++=inhibiting
the ^ati++++=the
Cdk4 ^np+++??+=CDK4/cyclin
D ^zz++++=D
complex ^jj++++=complex,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
preventing ^vbg+++xvbg+=preventing
phosphorylation ^nn+++??+=phosphorylation
of ^in++++=of
the ^ati++++=the
retinoblastoma ^nn+++??+=retinoblastoma
( ^zz++++=(Rb)
rb ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
protein ^nn++++=protein,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
key ^jjb+atrb+++=key
regulator ^nn+++??+=regulator
of ^in++++=of
cell ^nn++++=cell
cycle ^nn++++=cycle
progression ^nn++++=progression
( ^zz++++=(Surjit
surjit ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
infection ^nn++++=infection
with ^in++++=with
infectious ^nns+++??+=infectious
bronchitis ^nn++++=bronchitis
virus ^nn++++=virus
( ^zz++++=(IBV)
ibv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
leads ^vbz++++=leads
to ^in++++=to
a ^at++++=a
reduction ^nn++++=reduction
in ^in++++=in
cyclin ^nn+++??+=cyclin
D1 ^np+++??+=D1
levels ^nns++++=levels,
, ^zz++++=EXTRAWORD
a ^at++++=a
protein ^nn++++=protein
involved ^vbd+++xvbn+=involved
in ^in++++=in
the ^ati++++=the
G2 ^np+++??+=G2/M
transition ^nn++++=transition,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
cell ^nn++++=cell
cycle ^nn++++=cycle
arrest ^nn++++=arrest
at ^rb++++=at
the ^ati++++=the
G2 ^np+++??+=G2/M
Phase ^nn++++=phase
 ^zz++++=(Harrison
Harrison ^np++++=EXTRAWORD
Et ^&fw++++=et
Al ^&fw++++=al.,
 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
007 ^cd++++=2007).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
