Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
The ^ati++++=The
strategies ^nn++++=strategies
implemented ^vwbn+++xvbn+=implemented
at ^rb++++=at
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn++++=University
of ^in++++=of
Para ^nn++++=Para
ba ^nn+++??+=ba
( ^zz++++=(UFPB)
ufpb ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
the ^ati++++=the
University ^nn++++=University
of ^in++++=of
Pittsburgh ^np+++??+=Pittsburgh
( ^zz++++=(UP)
up ^rp++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Griffith ^np+++??+=Griffith
University ^npl++++=University
 ^zz++++=(GU)
Gu ^np++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
In ^in++++=in
Australia ^np++++=Australia
Were ^vbd+bed+aux++=were
Systematically ^rb++splt++=systematically
Described ^vpsv++agls+xvbn+=described.
 ^zz++++=EXTRAWORD
