Figure ^nn++++=Figure
3 ^zz++++=3
presents ^vbz++++=presents
the ^ati++++=the
daily ^jj+atrb+++=daily
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
City ^nn++++=City
over ^in++++=over
time ^nn++++=time.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
indicate ^vb+vprv+++=indicate
a ^at++++=a
marked ^jj+atrb++xvbn+=marked
increase ^nn++++=increase
in ^in++++=in
deaths ^nns++++=deaths
up ^in+cmpx+++=up
to ^in++++=to
April ^nr++++=April
5th ^cd++++=5th,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
average ^jj+atrb+++=average
growth ^nn++++=growth
rate ^nn++++=rate
of ^in++++=of
3.1 ^cd++++=3.1
deaths ^nns++++=deaths
per ^nnu++++=per
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Consistent ^jj++++=Consistent
with ^in++++=with
trends ^nns++++=trends
observed ^vbd+++xvbn+=observed
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
population ^nn++++=population,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths
stabilizes ^nns+++??+=stabilizes
after ^in++++=after
April ^nr++++=April
5th ^cd++++=5th.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
unlike ^in++++=unlike
the ^ati++++=the
state ^nn++++=state-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
data ^nns++++=data,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
clear ^jj+atrb+++=clear
resurgence ^nn++++=resurgence
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths
after ^in++++=after
april ^nr++++=April
19th ^cd+date+++=19th
in ^in++++=in
s ^zz++++=S
o ^zz++++=o
paulo ^np++++=Paulo
city ^nn++++=City.
. ^zz++++=EXTRAWORD
