Given ^vprf+++xvbn+=Given
that ^dt+dem+++=that
health ^nn++++=health
service ^nn++++=service
availability ^nn++++=availability,
, ^zz++++=EXTRAWORD
governance ^nn+++??+=governance
structures ^nns++++=structures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
interactions ^nns++++=interactions
among ^in++++=among
emergency ^nn++++=emergency
responders ^nns+++??+=responders
all ^abn++++=all
exhibit ^vb++++=exhibit
gender ^nn++++=gender-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
dimensions ^nns++++=dimensions
( ^zz++++=(Smith,
smith ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
gender ^nn++++=gender
roles ^nns++++=roles
and ^cc++++=and
stigma ^nn++++=stigma
influence ^nn++++=influence
adherence ^nn++++=adherence
to ^in++++=to
counseling ^nn+++??+=counseling
and ^cc++++=and
treatment ^nn++++=treatment
( ^zz++++=(Rugema
rugema ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
inferred ^vpsv++agls+xvbnx+=inferred
that ^dt+pdem+++=that
women ^vbz++++=women
play ^vb++++=play
a ^at++++=a
critical ^jj+atrb+++=critical
role ^nn++++=role
in ^in++++=in
controlling ^xvbg+++xvbg+=controlling
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
coronavirus ^nns+++??+=coronavirus
infection ^nn++++=infection
and ^cc++++=and,
, ^zz++++=EXTRAWORD
by ^in++++=by
extension ^nn++++=extension,
, ^zz++++=EXTRAWORD
in ^in++++=in
enhancing ^xvbg+++xvbg+=enhancing
global ^jj+atrb+++=global
health ^nn++++=health
security ^nn++++=security
( ^zz++++=(Wenham,
wenham ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Morgan ^np++++=Morgan,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
incorporate ^vbi++++=incorporate
women ^nns++++=women's
's ^$++++=EXTRAWORD
perspectives ^nns++++=perspectives
and ^cc++++=and
expertise ^nn++++=expertise
in ^in++++=in
decision ^nn++++=decision-making,
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
preparedness ^nns+++??+=preparedness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
response ^nn++++=response
efforts ^nns++++=efforts
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
light ^nn++++=light
of ^in++++=of
the ^ati++++=the
current ^jj+atrb+++=current
underrepresentation ^nn+++??+=underrepresentation
of ^in++++=of
women ^nns++++=women
in ^in++++=in
global ^jj+atrb+++=global
Covid ^np+++??+=COVID-19
 ^zz++++=EXTRAWORD
9 ^cd++++=EXTRAWORD
Policy ^nn++++=policy
Forums ^nns++++=forums
 ^zz++++=(Wenham,
Wenham ^np++++=EXTRAWORD
 ^zz++++=EXTRAWORD
020 ^cd++++=2020).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
