Behavioral ^np+++??+=Behavioral
responses ^nns++++=responses
observed ^vbd+++xvbn+=observed
in ^in++++=in
arena ^nn++++=arena
1 ^zz++++=1
were ^vbd+bed+aux++=were
compared ^vpsv++agls+xvbnx+=compared
using ^vbg+++xvbg+=using
a ^at++++=a
one ^cd1++++=one-tailed
- ^zz++++=EXTRAWORD
tailed ^vbd+++xvbn+=EXTRAWORD
binomial ^nn+++??+=binomial
test ^nn++++=test.
. ^zz++++=EXTRAWORD
For ^in++++=For
arenas ^nns+++??+=arenas
2 ^zz++++=2
and ^cc++++=and
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
behavioral ^jj+atrb+++=behavioral
responses ^nns++++=responses
for ^in++++=for
each ^dt++++=each
species ^nns++++=species
were ^vbd+bed+aux++=were
compared ^vpsv++agls+xvbnx+=compared
using ^vbg+++xvbg+=using
a ^at++++=a
two ^cd++++=two-tailed
- ^zz++++=EXTRAWORD
tailed ^vbd+++xvbn+=EXTRAWORD
binomial ^nn+++??+=binomial
test ^nn++++=test.
. ^zz++++=EXTRAWORD
A ^at++++=A
chi ^np++++=chi-square
- ^zz++++=EXTRAWORD
square ^nn++++=EXTRAWORD
test ^nn++++=test
of ^in++++=of
independence ^nn++++=independence
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
Belminus ^np+++??+=Belminus
species ^nn++++=species
and ^cc++++=and
orientation ^nn++++=orientation
responses ^nns++++=responses
in ^in++++=in
arenas ^nns+++??+=arenas
2 ^zz++++=2
and ^cc++++=and
3 ^zz++++=3.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
chi ^np++++=chi-square
- ^zz++++=EXTRAWORD
square ^nn++++=EXTRAWORD
test ^nn++++=test
indicated ^vbd+vprv++xvbn+=indicated
no ^at++++=no
significant ^jj+atrb+++=significant
dependence ^nn++++=dependence,
, ^zz++++=EXTRAWORD
Belminus ^np+++??+=Belminus
species ^nn++++=species
were ^vbd+bed+aux++=were
grouped ^vpsv++agls+xvbnx+=grouped
at ^rb++++=at
the ^ati++++=the
genus ^nns+++??+=genus
level ^nn++++=level
for ^in++++=for
a ^at++++=a
two ^cd++++=two-tailed
- ^zz++++=EXTRAWORD
tailed ^vbd+++xvbn+=EXTRAWORD
binomial ^nn+++??+=binomial
test ^nn++++=test.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
significant ^jj+atrb+++=significant
dependence ^nn++++=dependence
was ^vbd+bedz+aux++=was
detected ^vpsv++agls+xvbnx+=detected,
, ^zz++++=EXTRAWORD
multiple ^jj+atrb+++=multiple
pairwise ^nn+++??+=pairwise
chi ^np++++=chi-square
- ^zz++++=EXTRAWORD
square ^nn++++=EXTRAWORD
comparisons ^nns++++=comparisons
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
among ^in++++=among
species ^nn++++=species,
, ^zz++++=EXTRAWORD
with ^in++++=with
post ^nn++++=post
hoc ^jj"++++=hoc
Holm ^np+++??+=Holm-Bonferroni
- ^zz++++=EXTRAWORD
bonferroni ^nn+++??+=EXTRAWORD
correction ^nn++++=correction
applied ^vwbn+++xvbn+=applied
( ^zz++++=(Ruxton
ruxton ^nn+++??+=EXTRAWORD
and ^cc++++=and
Beauchamp ^np+++??+=Beauchamp
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
All ^abn++++=All
statistical ^jj+atrb+++=statistical
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
R ^zz++++=R
( ^zz++++=(version
version ^nn++++=EXTRAWORD
3.5.3 ^cd++++=3.5.3,
, ^zz++++=EXTRAWORD
vienna ^np++++=Vienna,
, ^zz++++=EXTRAWORD
austria ^np++++=Austria;
; ^zz++++=EXTRAWORD
ihaka ^np++++=Ihaka
and ^cc++++=and
gentleman ^nn++++=Gentleman
1996 ^cd+date+++=1996).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
