Some ^dti++++=Some
surgeons ^nns++++=surgeons
alternated ^jj+atrb++??+=alternated
periods ^nns++++=periods
of ^in++++=of
staying ^xvbg+++xvbg+=staying
at ^rb++++=at
home ^nr++++=home
for ^in++++=for
several ^ap++++=several
days ^nns++++=days
to ^to++++=to
maintain ^vbi+vpub+++=maintain
a ^at++++=a
reserve ^nn++++=reserve
group ^nn++++=group
of ^in++++=of
uninfected ^nn+++??+=uninfected
professionals ^nns++++=professionals
who ^whp+rel+subj++=who
could ^md+pos+++=could
be ^vb+be+vrb++=be
mobilized ^nn+++??+=mobilized
as ^cs+sub+++=as
needed ^jj+++xvbn+=needed
or ^cc++++=or
to ^to++++=to
replace ^vbi++++=replace
colleagues ^nns++++=colleagues
from ^in++++=from
any ^dti++++=any
specialty ^nn++++=specialty
who ^whp+rel+subj++=who
became ^vbd+++xvbn+=became
infected ^vpsv++agls+xvbn+=infected.
. ^zz++++=EXTRAWORD
