Alemtuzumab ^np+++??+=Alemtuzumab
is ^vbz+bez+vrb++=is
an ^at++++=an
anti ^nn+++??+=anti-CD52
- ^zz++++=EXTRAWORD
cd52 ^nn+++??+=EXTRAWORD
monoclonal ^nn+++??+=monoclonal
antibody ^nn++++=antibody
used ^vwbn+++xvbn+=used
as ^ql++++=as
induction ^nn++++=induction
therapy ^nn++++=therapy.
. ^zz++++=EXTRAWORD
Administration ^nn++++=Administration
of ^in++++=of
a ^at++++=a
single ^jj+atrb+++=single
cycle ^nn++++=cycle
leads ^nns++++=leads
to ^in++++=to
depletion ^nn++++=depletion
of ^in++++=of
more ^rbr++++=more
than ^in++++=than
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
of ^in++++=of
both ^abx++++=both
Cd4 ^np+++??+=CD4
and ^cc++++=and
Cd8 ^np+++??+=CD8
T ^zz++++=T
lymphocytes ^nns+++??+=lymphocytes
within ^in++++=within
the ^ati++++=the
first ^od++++=first
month ^nn++++=month.
. ^zz++++=EXTRAWORD
Gradual ^jj+atrb+++=Gradual
lymphocyte ^nn+++??+=lymphocyte
recovery ^nn++++=recovery
occurs ^vbz++++=occurs
over ^in++++=over
the ^ati++++=the
following ^jj+atrb++xvbg+=following
year ^nn++++=year,
, ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching
approximately ^rb+down+++=approximately
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
of ^in++++=of
baseline ^nn+++??+=baseline
levels ^nns++++=levels
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
initiation ^nn++++=initiation
of ^in++++=of
the ^ati++++=the
second ^od++++=second
cycle ^nn++++=cycle.
. ^zz++++=EXTRAWORD
