Controls ^vbz++++=Controls:
: ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
odorless ^nns+++??+=odorless
control ^nn++++=control
experiments ^nns++++=experiments,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
two ^cd++++=two
empty ^jj+atrb+++=empty
flasks ^nns++++=flasks
were ^vbd+bed+aux++=were
presented ^vpsv++agls+xvbnx+=presented
to ^in++++=to
B ^zz++++=B.
. ^zz++++=EXTRAWORD
corredori ^nn+++??+=corredori
( ^zz++++=(n=22),
n=22 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
orientation ^nn++++=orientation
of ^in++++=of
the ^ati++++=the
subjects ^nns++++=subjects
did ^vbd+dod+aux++=did
not ^xnot++not++=not
significantly ^rb++++=significantly
deviate ^vb++++=deviate
from ^in++++=from
random ^jj+atrb+++=random
expectation ^nn++++=expectation
( ^zz++++=(left:
left ^jj+++xvbn+=EXTRAWORD
: ^zz++++=EXTRAWORD
12 ^cd++++=12,
, ^zz++++=EXTRAWORD
right ^jj++++=right:
: ^zz++++=EXTRAWORD
10 ^cd++++=10;
; ^zz++++=EXTRAWORD
p=0.154 ^np++++=P=0.154).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
