During ^in++++=During
this ^dt+dem+++=this
period ^nn++++=period,
, ^zz++++=EXTRAWORD
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Amazonas ^np+++??+=Amazonas
reported ^vbd+vpub++xvbn+=reported
the ^ati++++=the
highest ^jjt+atrb+++=highest
cumulative ^jj+atrb+++=cumulative
rate ^nn++++=rate
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
deaths ^nns++++=deaths
per ^in++++=per
1,000,000 ^cd++++=1,000,000
inhabitants ^nns++++=inhabitants
( ^zz++++=(321.14),
321.14 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
Cear ^np+++??+=Cear
( ^zz++++=(161.63),
161.63 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Pernambuco ^np+++??+=Pernambuco
( ^zz++++=(144.50),
144.50 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
( ^zz++++=(141.21),
141.21 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Par ^&fw++++=Par
( ^zz++++=(133.10).
133.10 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
cumulative ^jj+atrb+++=cumulative
rates ^nns++++=rates
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
Mato ^np+++??+=Mato
Grosso ^np+++??+=Grosso
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul
( ^zz++++=(5.04),
5.04 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais
( ^zz++++=(6.90),
6.90 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mato ^np+++??+=Mato
Grosso ^np+++??+=Grosso
 ^zz++++=(7.46),
.46 ^np++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
And ^cc+cls+++=and
Goi ^np++++=Goi
S ^zz++++=s
 ^zz++++=(9.55).
.55 ^np++++=EXTRAWORD
	. ^nn++++=EXTRAWORD
