Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
exhibits ^nns++++=exhibits
resistance ^nn++++=resistance
to ^in++++=to
environmental ^jj+atrb+++=environmental
changes ^nns++++=changes
and ^cc++++=and
demonstrates ^vbz+vpub+++=demonstrates
susceptibility ^nn++++=susceptibility
primarily ^rb+down+++=primarily
at ^rb++++=at
relative ^jj+atrb+++=relative
humidity ^nn++++=humidity
levels ^nns++++=levels
exceeding ^vwbg+++xvbg+=exceeding
80 ^cd++++=80%
% ^zz++++=EXTRAWORD
and ^cc++++=and
temperatures ^nns++++=temperatures
above ^jjb++++=above
30 ^cd++++=30
C ^zz++++=C;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
such ^abl++++=such
conditions ^nns++++=conditions
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
considered ^vpsv++agls+xvbn+=considered
unacceptable ^jj++++=unacceptable
for ^in++++=for
thermal ^jj+atrb+++=thermal
comfort ^nn++++=comfort
in ^in++++=in
indoor ^jjb+atrb+++=indoor
environments ^nns++++=environments.
. ^zz++++=EXTRAWORD
