Associations ^nns++++=Associations
between ^in++++=between
variations ^nns++++=variations
in ^in++++=in
leptospirosis ^nns+++??+=leptospirosis
rates ^nns++++=rates
and ^cc++++=and
seasonal ^jj+atrb+++=seasonal
periods ^nns++++=periods
were ^vbd+bed+aux++=were
graphically ^rb++splt++=graphically
examined ^vpsv++by+xvbnx+=examined
by ^in++++=by
stratifying ^nn+++??+=stratifying
the ^ati++++=the
data ^nns++++=data
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
eight ^cd++++=eight
regions ^nns++++=regions
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
and ^cc+phrs+++=and
lowest ^jjt+atrb+++=lowest
leptospirosis ^nns+++??+=leptospirosis
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
those ^dt+dem+++=those
with ^in++++=with
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
and ^cc+phrs+++=and
highest ^jjt+atrb+++=highest
ratios ^nns++++=ratios
of ^in++++=of
cases ^nns++++=cases
to ^in++++=to
rainfall ^nn++++=rainfall.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
aimed ^vwbn+++xvbn+=aimed
to ^to+vcmp+++=to
identify ^vbi++++=identify
potential ^jj+atrb+++=potential
cumulative ^jj+atrb+++=cumulative
effects ^nns++++=effects
of ^in++++=of
rainfall ^nn++++=rainfall
on ^in++++=on
the ^ati++++=the
incidence ^nn++++=incidence
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
