To ^in++++=To
further ^jjb++++=further
investigate ^vb++++=investigate
the ^ati++++=the
cellular ^nn++++=cellular
proteins ^vbz+++??+=proteins
associated ^vbd+++xvbn+=associated
with ^in++++=with
coronavirus ^nns+++??+=coronavirus
biology ^nn++++=biology,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
conducted ^vbd+++xvbn+=conducted
Ingenuity ^nn++++=Ingenuity
Pathway ^nn++++=Pathway
Analysis ^nn++++=Analysis
using ^vwbg+++xvbg+=using
the ^ati++++=the
protein ^nn++++=protein
list ^nn++++=list
provided ^vbd+vsua++xvbn+=provided
in ^in++++=in
Table ^nn++++=Table
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
analysis ^nn++++=analysis
generated ^vbd+++xvbn+=generated
a ^at++++=a
list ^nn++++=list
of ^in++++=of
canonical ^nn+++??+=canonical
pathways ^nns+++??+=pathways,
, ^zz++++=EXTRAWORD
shown ^j+++xvbn+=shown
in ^in++++=in
Table ^nn++++=Table
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
are ^vb+ber+vrb++=are
potentially ^rb++++=potentially
relevant ^jj+pred+++=relevant
or ^cc+phrs+++=or
modulated ^jj+++xvbn+=modulated
during ^in++++=during
the ^ati++++=the
coronavirus ^nns+++??+=coronavirus
replication ^nn+++??+=replication
cycle ^nn++++=cycle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
top ^jjb++++=top
ten ^cd++++=ten
pathways ^nns+++??+=pathways
were ^vbd+bed+aux++=were
selected ^vpsv++agls+xvbnx+=selected
based ^xvbn+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
associated ^vbd+++xvbn+=associated
p ^zz++++=p-values.
- ^zz++++=EXTRAWORD
values ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
indicated ^vbd+vprv++xvbn+=indicated
modulation ^nn+++??+=modulation
of ^in++++=of
key ^jjb+atrb+++=key
molecular ^jj+atrb+++=molecular
pathways ^nns+++??+=pathways,
, ^zz++++=EXTRAWORD
including ^in++++=including
p53 ^nn+++??+=p53
and ^cc++++=and
mtor ^nn+++??+=mTOR,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
inhibition ^nn++++=inhibition
of ^in++++=of
the ^ati++++=the
host ^nn++++=host
immune ^jj+atrb+++=immune
response ^nn++++=response
through ^in++++=through
suppression ^nn++++=suppression
of ^in++++=of
interferon ^nn+++??+=interferon
induction ^nn++++=induction
and ^cc++++=and
alterations ^nns++++=alterations
in ^in++++=in
cell ^nn++++=cell
cycle ^nn++++=cycle
and ^cc++++=and
cell ^nn++++=cell
growth ^nn++++=growth.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
such ^abl++++=such
molecular ^jj+atrb+++=molecular
events ^nns++++=events
may ^md+pos+++=may
promote ^vb++++=promote
a ^at++++=a
cellular ^jj+atrb+++=cellular
environment ^nn++++=environment
conducive ^jj++++=conducive
to ^in++++=to
viral ^nn+++??+=viral
replication ^nn+++??+=replication
and ^cc++++=and
suppression ^nn++++=suppression
of ^in++++=of
apoptosis ^nns+++??+=apoptosis,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
facilitating ^vbg+++xvbg+=facilitating
progression ^nn++++=progression
of ^in++++=of
the ^ati++++=the
viral ^nn++++=viral
life ^nn++++=life
cycle ^nn++++=cycle.
. ^zz++++=EXTRAWORD
