According ^in+cmpx+++=According
to ^in++++=to
Casini ^np+++??+=Casini
et ^&fw++++=et
al.9 ^nn+++??+=al.9,
, ^zz++++=EXTRAWORD
pharmacological ^jj+atrb+++=pharmacological
prophylaxis ^nns+++??+=prophylaxis
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
for ^in++++=for
all ^abn++++=all
patients ^nns++++=patients
hospitalized ^nn+++??+=hospitalized
with ^in++++=with
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
except ^in++++=except
in ^in++++=in
cases ^nns++++=cases
where ^wrb+who+++=where
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
contraindicated ^nn+++??+=contraindicated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
advise ^vb+vpub+++=advise
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
low ^jj+atrb+++=low
molecular ^jj+atrb+++=molecular
weight ^nn++++=weight
heparin ^nn+++??+=heparin
( ^zz++++=(LMWH)
lmwh ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
patients ^nns++++=patients
with ^in++++=with
a ^at++++=a
creatinine ^nn+++??+=creatinine
clearance ^nn++++=clearance
greater ^jjr++++=greater
than ^in++++=than
30 ^cd++++=30
ml ^nnu++++=mL/min
and ^cc++++=and
unfractionated ^nn+++??+=unfractionated
heparin ^nn+++??+=heparin
( ^zz++++=(UFH)
ufh ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
those ^dt+dem+++=those
with ^in++++=with
a ^at++++=a
clearance ^nn++++=clearance
less ^rbr++++=less
than ^in++++=than
30 ^cd++++=30
ml ^nnu++++=mL/min,
with ^in++++=with
dose ^nn++++=dose
adjustments ^nns++++=adjustments
for ^in++++=for
individuals ^nns++++=individuals
weighing ^vwbg+++xvbg+=weighing
over ^in++++=over
100 ^cd++++=100
kg ^nnu++++=kg.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
also ^rb++++=also
recommend ^vb+vsua+++=recommend
regular ^jj++++=regular
monitoring ^jj+++xvbg+=monitoring
of ^in++++=of
prothrombin ^nn+++??+=prothrombin
time ^nn++++=time,
, ^zz++++=EXTRAWORD
D ^zz++++=D-dimer,
- ^zz++++=EXTRAWORD
dimer ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
fibrinogen ^nn+++??+=fibrinogen,
, ^zz++++=EXTRAWORD
platelet ^nn+++??+=platelet
count ^npt++++=count,
, ^zz++++=EXTRAWORD
lactate ^nn+++??+=lactate
dehydrogenase ^nn+++??+=dehydrogenase
( ^zz++++=(LDH),
ldh ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
creatinine ^nn+++??+=creatinine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
alanine ^nn+++??+=alanine
aminotransferase ^nn+++??+=aminotransferase
( ^zz++++=(ALT)
alt ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
either ^dtx++++=either
daily ^jj++++=daily
or ^cc++++=or
two ^cd++++=two
to ^to++++=to
three ^cd++++=three
times ^nns++++=times
per ^nnu++++=per
week ^nn++++=week
in ^in++++=in
all ^abn++++=all
patients ^nns++++=patients.
. ^zz++++=EXTRAWORD
Additional ^jj++++=Additional
monitoring ^jj+++xvbg+=monitoring
of ^in++++=of
antithrombin ^nn+++??+=antithrombin
is ^vbz+bez+aux++=is
suggested ^vpsv++agls+xvbnx+=suggested
for ^in++++=for
patients ^nns++++=patients
with ^in++++=with
disseminated ^vbd+++xvbn+=disseminated
intravascular ^nn+++??+=intravascular
coagulation ^nn+++??+=coagulation
( ^zz++++=(DIC),
dic ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sepsis ^nns+++??+=sepsis-induced
- ^zz++++=EXTRAWORD
induced ^vwbn+++xvbn+=EXTRAWORD
coagulopathy ^nn+++??+=coagulopathy,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
heparin ^jj+atrb++??+=heparin
resistance ^nn++++=resistance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anti ^nn+++??+=anti-Xa
- ^zz++++=EXTRAWORD
xa ^nn+++??+=EXTRAWORD
activity ^nn++++=activity
should ^md+nec+++=should
be ^vb+be+aux++=be
assessed ^vpsv++agls+xvbnx+=assessed
in ^in++++=in
selected ^xvbn+++xvbn+=selected
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
The ^ati++++=The
use ^nn++++=use
of ^in++++=of
therapeutic ^jj+atrb+++=therapeutic
doses ^nns++++=doses
of ^in++++=of
Ufh ^np+++??+=UFH
or ^cc++++=or
Lmwh ^np+++??+=LMWH
should ^md+nec+++=should
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
in ^in++++=in
intensive ^jj+atrb+++=intensive
care ^nn++++=care
unit ^nn++++=unit
( ^zz++++=(ICU)
icu ^nn+++??+=EXTRAWORD
