Further ^jjb+atrb+++=Further
research ^nn++++=research
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
compare ^vbi++++=compare
Peruvian ^np+++??+=Peruvian
regions ^nns++++=regions
across ^in+pl+++=across
various ^jj+atrb+++=various
dimensions ^nns++++=dimensions
of ^in++++=of
job ^nn++++=job
satisfaction ^nn++++=satisfaction,
, ^zz++++=EXTRAWORD
an ^at++++=an
objective ^nn++++=objective
not ^xnot++not++=not
addressed ^vbd+++xvbn+=addressed
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
identification ^nn++++=identification
of ^in++++=of
a ^at++++=a
gold ^nn++++=gold
standard ^nn++++=standard
for ^in++++=for
job ^nn++++=job
satisfaction ^nn++++=satisfaction
measurement ^nn++++=measurement
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
facilitate ^vbi++++=facilitate
studies ^nns++++=studies
on ^in++++=on
sensitivity ^nn++++=sensitivity
and ^cc++++=and
specificity ^nn++++=specificity.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
that ^tht+vcmp+++=that
the ^ati++++=the
measurement ^nn++++=measurement
properties ^nns++++=properties
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
scales ^nns++++=scales
presented ^vwbn+++xvbn+=presented
be ^vb+be+aux++=be
evaluated ^vpsv++agls+xvbnx+=evaluated
in ^in++++=in
other ^ap++++=other
contexts ^nns++++=contexts;
; ^zz++++=EXTRAWORD
to ^to++++=to
support ^vbi++++=support
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Spanish ^jj+atrb+++=Spanish
and ^cc+phrs+++=and
English ^jj+atrb+++=English
versions ^nns++++=versions
of ^in++++=of
the ^ati++++=the
scales ^nns++++=scales
are ^vb+ber+aux++=are
provided ^vpsv++agls+xvbnx+=provided
in ^in++++=in
Supplement ^nn++++=Supplement
1 ^zz++++=1
and ^cc++++=and
Supplement ^nn++++=Supplement
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
In ^in++++=In
particular ^jj++++=particular,
, ^zz++++=EXTRAWORD
the ^ati++++=the
psychometric ^nn+++??+=psychometric
properties ^nns++++=properties
of ^in++++=of
the ^ati++++=the
English ^jj+atrb+++=English
version ^nn++++=version
warrant ^nn++++=warrant
evaluation ^nn++++=evaluation,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
currently ^rb++++=currently
represents ^vbz++++=represents
only ^rb+down+++=only
a ^at++++=a
preliminary ^jj+atrb+++=preliminary
proposal ^nn++++=proposal
by ^in++++=by
the ^ati++++=the
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
