Exploring ^vbg+++xvbg+=Exploring
biodiversity ^nn+++??+=biodiversity
is ^vbz+bez+vrb++=is
a ^at++++=a
fundamental ^jj+atrb+++=fundamental
concern ^nn++++=concern
within ^in++++=within
the ^ati++++=the
biological ^jj+atrb+++=biological
sciences ^nns++++=sciences
and ^cc++++=and
is ^vbz+bez+vrb++=is
of ^in++++=of
significant ^jj+atrb+++=significant
importance ^nn++++=importance
to ^in++++=to
humanity ^nn++++=humanity.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
taxonomic ^nn+++??+=taxonomic
research ^nn++++=research
is ^vbz+bez+aux++=is
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
a ^at++++=a
critical ^jj+atrb+++=critical
priority ^nn++++=priority
in ^in++++=in
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
current ^jj+atrb+++=current
biodiversity ^nn+++??+=biodiversity
crisis ^nn++++=crisis
( ^zz++++=(Wheeler
wheeler ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
concept ^nn++++=concept
of ^in++++=of
taxonomy ^nn+++??+=taxonomy
in ^in++++=in
biological ^jj+atrb+++=biological
sciences ^nns++++=sciences
encompasses ^vbz++++=encompasses
a ^at++++=a
range ^nn++++=range
of ^in++++=of
interpretations ^nns++++=interpretations,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
reductionist ^jj++++=reductionist
and ^cc++++=and
primarily ^rb+down+++=primarily
descriptive ^jj++++=descriptive
approach ^vb++++=approach
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
alpha ^np++++=alpha
taxonomy ^nn+++??+=taxonomy
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
criticized ^vpsv++agls+xvbnx+=criticized
as ^ql++++=as
outdated ^jj++++=outdated
and ^cc++++=and
of ^in++++=of
limited ^vwbn+++xvbn+=limited
intellectual ^jj+atrb+++=intellectual
value ^nn++++=value
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mayr ^np+++??+=Mayr
1969 ^cd+date+++=1969)
) ^zz++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
broader ^jjr+atrb+++=broader
perspective ^nn++++=perspective
that ^tht+rel+obj++=that
positions ^nns++++=positions
taxonomy ^nn+++??+=taxonomy
as ^ql++++=as
a ^at++++=a
central ^jj+atrb+++=central
discipline ^nn++++=discipline
within ^in++++=within
comparative ^jj+atrb+++=comparative
biology ^nn++++=biology
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Wheeler ^np++++=Wheeler
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
latter ^ap++++=latter,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
perspective ^nn++++=perspective
adopted ^vbd+++xvbn+=adopted
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
includes ^vb++++=includes
activities ^nns++++=activities
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
primary ^jj+atrb+++=primary
data ^nns++++=data
collection ^nn++++=collection
during ^in++++=during
fieldwork ^nn+++??+=fieldwork
to ^in++++=to
analyses ^nns++++=analyses
involving ^vwbg+++xvbg+=involving
morphology ^nn++++=morphology,
, ^zz++++=EXTRAWORD
genomics ^nns+++??+=genomics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ecosystems ^nns+++??+=ecosystems,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
framing ^vbg+++xvbg+=framing
taxonomy ^nn+++??+=taxonomy
as ^ql++++=as
a ^at++++=a
hypothesis ^nn++++=hypothesis-driven
- ^zz++++=EXTRAWORD
driven ^vbd+++xvbn+=EXTRAWORD
science ^nn++++=science.
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
its ^pp$+it+++=its
broad ^jj+atrb+++=broad
scientific ^jj+atrb+++=scientific
relevance ^nn++++=relevance,
, ^zz++++=EXTRAWORD
routine ^jj+atrb+++=routine
taxonomic ^nn+++??+=taxonomic
research ^nn++++=research
is ^vbz+bez+vrb++=is
typically ^rb++++=typically
a ^at++++=a
low ^jj++++=low-cost
- ^zz++++=EXTRAWORD
cost ^nn++++=EXTRAWORD
endeavor ^nn+++??+=endeavor
that ^tht+rel+subj++=that
utilizes ^vbz+++??+=utilizes
limited ^vbd+++xvbn+=limited
technological ^jj+atrb+++=technological
resources ^nns++++=resources
and ^cc++++=and
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
focused ^vpsv++agls+xvbnx+=focused
on ^in++++=on
the ^ati++++=the
examination ^nn++++=examination
of ^in++++=of
natural ^jj+atrb+++=natural
history ^nn++++=history
collections ^nns++++=collections
to ^to++++=to
generate ^vbi++++=generate
and ^cc++++=and
disseminate ^jj+atrb++??+=disseminate
fundamental ^jj+atrb+++=fundamental
data ^nns++++=data
on ^in++++=on
biological ^jj+atrb+++=biological
entities ^nns++++=entities.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
work ^nn++++=work
often ^rb++++=often
involves ^vbz++++=involves
the ^ati++++=the
morphological ^jj+atrb+++=morphological
study ^nn++++=study
of ^in++++=of
poorly ^rb++++=poorly
known ^vbn+vprv++xvbn+=known
taxa ^nn+++??+=taxa,
, ^zz++++=EXTRAWORD
uncharacterized ^nn+++??+=uncharacterized
sexes ^nns++++=sexes
or ^cc++++=or
developmental ^nn+++??+=developmental
stages ^nns++++=stages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
undescribed ^nn+++??+=undescribed
species ^nns++++=species.
. ^zz++++=EXTRAWORD
Taxonomists ^np+++??+=Taxonomists
frequently ^rb++++=frequently
address ^nn++++=address
understudied ^nn+++??+=understudied
or ^cc++++=or
neglected ^xvbn+++xvbn+=neglected
topics ^nns++++=topics,
, ^zz++++=EXTRAWORD
often ^rb++++=often
working ^jj+++xvbg+=working
with ^in++++=with
novel ^nn++++=novel
or ^cc++++=or
unusual ^jj+atrb+++=unusual
organisms ^nns++++=organisms.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
comprehensive ^jj++++=comprehensive
and ^cc++++=and
well ^rb++++=well-illustrated
- ^zz++++=EXTRAWORD
illustrated ^vbd+++xvbn+=EXTRAWORD
taxonomic ^nn+++??+=taxonomic
monographs ^nns++++=monographs
on ^in++++=on
certain ^jj+atrb+++=certain
animal ^nn++++=animal
groups ^nns++++=groups
may ^md+pos+++=may
receive ^vb++++=receive
few ^ap++++=few
citations ^nns+++??+=citations,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
resolve ^nn++++=resolve
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
fundamental ^jj+atrb+++=fundamental
taxonomic ^nn+++??+=taxonomic
issues ^nns++++=issues
for ^in++++=for
those ^dt+dem+++=those
taxa ^nn+++??+=taxa.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Congress ^nn++++=Congress
of ^in++++=of
Zoology ^np+++??+=Zoology
in ^in++++=in
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
an ^at++++=an
entomologist ^nn++++=entomologist
highlighted ^vbd+++xvbn+=highlighted
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
citation ^nn+++??+=citation
potential ^jj++++=potential
for ^in++++=for
significant ^jj+atrb+++=significant
contributions ^nns++++=contributions
to ^in++++=to
the ^ati++++=the
study ^nn++++=study
of ^in++++=of
Zoraptera ^np+++??+=Zoraptera,
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
insect ^nn++++=insect
order ^nn++++=order
with ^in++++=with
fewer ^ap++++=fewer
than ^in++++=than
fifty ^cd++++=fifty
described ^xvbn+++xvbn+=described
species ^nns++++=species.
. ^zz++++=EXTRAWORD
The ^ati++++=The
issue ^nn++++=issue
of ^in++++=of
low ^jj+atrb+++=low
citation ^nn+++??+=citation
rates ^nns++++=rates
in ^in++++=in
taxonomy ^nn+++??+=taxonomy
is ^vbz+bez+aux++=is
widely ^rb++splt++=widely
recognized ^vpsv++agls+xvbnx+=recognized,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
inadequacy ^nn++++=inadequacy
of ^in++++=of
journal ^nn++++=journal
impact ^nn++++=impact
factors ^nns++++=factors
( ^zz++++=(JIF)
jif ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
evaluating ^nn+++??+=evaluating
basic ^jj+atrb+++=basic
sciences ^nns++++=sciences
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
frequently ^rb++splt++=frequently
discussed ^vpsv++agls+xvbn+=discussed
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Krell ^np+++??+=Krell
2000 ^cd++++=2000,
, ^zz++++=EXTRAWORD
Rafael ^np++++=Rafael
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
situation ^nn++++=situation
reflects ^vbz++++=reflects
a ^at++++=a
paradox ^nn++++=paradox
in ^in++++=in
which ^whp+rel+pied++=which
taxonomy ^nn+++??+=taxonomy,
, ^zz++++=EXTRAWORD
by ^in++++=by
necessity ^nn++++=necessity,
, ^zz++++=EXTRAWORD
addresses ^nns++++=addresses
basic ^jj+atrb+++=basic
descriptive ^jj+atrb+++=descriptive
topics ^nns++++=topics
and ^cc++++=and
novel ^nn++++=novel
discoveries ^vb++++=discoveries
that ^tht+vcmp+obj++=that
pertain ^nn+++??+=pertain
to ^in++++=to
relatively ^rb++++=relatively
small ^jj+atrb+++=small
segments ^nns++++=segments
of ^in++++=of
the ^ati++++=the
tree ^nn++++=tree
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
