Given ^vbd+++xvbn+=Given
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
scientific ^jj+atrb+++=scientific
evidence ^nn++++=evidence
on ^in++++=on
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
nutritional ^jj+atrb+++=nutritional
deficiencies ^nns++++=deficiencies
on ^in++++=on
the ^ati++++=the
prognosis ^nn++++=prognosis
of ^in++++=of
viral ^nn+++??+=viral
infections ^nns++++=infections,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
light ^nn++++=light
of ^in++++=of
the ^ati++++=the
ongoing ^nn+++??+=ongoing
global ^jj+atrb+++=global
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
aimed ^vwbn+++xvbn+=aimed
to ^to+vcmp+++=to
review ^vb++++=review
the ^ati++++=the
literature ^nn++++=literature
to ^to++++=to
evaluate ^vbi++++=evaluate
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
deficiencies ^nns++++=deficiencies
in ^in++++=in
vitamin ^nn++++=vitamin
A ^at++++=A,
, ^zz++++=EXTRAWORD
vitamin ^nn++++=vitamin
D ^zz++++=D,
, ^zz++++=EXTRAWORD
iron ^nn++++=iron,
, ^zz++++=EXTRAWORD
zinc ^nn++++=zinc,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
folate ^nn+++??+=folate
on ^in++++=on
the ^ati++++=the
prognosis ^nn++++=prognosis
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
respiratory ^jj+atrb+++=respiratory
infections ^nns++++=infections
exhibiting ^vwbg+++xvbg+=exhibiting
symptoms ^nns++++=symptoms
similar ^jj++++=similar
to ^in++++=to
those ^dt+dem+++=those
of ^in++++=of
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
discuss ^vbi++++=discuss
the ^ati++++=the
potential ^jj+atrb+++=potential
role ^nn++++=role
of ^in++++=of
supplementation ^nn+++??+=supplementation
with ^in++++=with
these ^dt+dem+++=these
nutrients ^nns++++=nutrients
as ^in++++=as
considered ^nn++++=considered
in ^in++++=in
the ^ati++++=the
qualitative ^jj+atrb+++=qualitative
analysis ^nn++++=analysis
of ^in++++=of
this ^dt+dem+++=this
review ^nn++++=review.
. ^zz++++=EXTRAWORD
