Although ^cs+con+++=Although
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
currently ^rb++++=currently
insufficient ^jj+atrb+++=insufficient
data ^nns++++=data
to ^to++++=to
specify ^vbi+vsua+++=specify
and ^cc++++=and
quantify ^nn+++??+=quantify
the ^ati++++=the
minimum ^jj+atrb+++=minimum
ventilation ^nn++++=ventilation
requirements ^nns++++=requirements
in ^in++++=in
hospitals ^nns++++=hospitals
and ^cc++++=and
isolation ^nn++++=isolation
rooms ^nns++++=rooms
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
airborne ^jj+atrb+++=airborne
transmission ^nn++++=transmission
of ^in++++=of
infectious ^nns+++??+=infectious
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
the ^ati++++=the
referenced ^nn+++??+=referenced
study ^nn++++=study
provides ^vbz+vsua+++=provides
evidence ^nn++++=evidence
supporting ^vwbg+++xvbg+=supporting
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
negatively ^rb++++=negatively
pressurized ^jj+atrb+++=pressurized
isolation ^nn++++=isolation
rooms ^nns++++=rooms
in ^in++++=in
hospitals ^nns++++=hospitals
for ^in++++=for
patients ^nns++++=patients
with ^in++++=with
such ^abl++++=such
diseases ^nns++++=diseases.
. ^zz++++=EXTRAWORD
