Recent ^jj+atrb+++=Recent
literature ^nn++++=literature
reviews ^nns++++=reviews
on ^in++++=on
telemedicine ^nn+++??+=telemedicine
in ^in++++=in
multiple ^jj+atrb+++=multiple
sclerosis ^nns+++??+=sclerosis
( ^zz++++=(MS)
ms ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
care ^nn++++=care
have ^vb+hv+aux++=have
identified ^vprf+++xvbnx+=identified
benefits ^nns++++=benefits
in ^in++++=in
areas ^nns++++=areas
such ^abl++++=such
as ^ql++++=as
cost ^nn++++=cost-effectiveness
- ^zz++++=EXTRAWORD
effectiveness ^nn++++=EXTRAWORD
and ^cc++++=and
satisfaction ^nn++++=satisfaction
among ^in++++=among
both ^abx++++=both
patients ^nns++++=patients
and ^cc++++=and
healthcare ^nn+++??+=healthcare
providers ^nns+++??+=providers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Brazilian ^jj+atrb+++=Brazilian
Academy ^nn++++=Academy
of ^in++++=of
Neurology ^nn++++=Neurology
endorses ^vbz++++=endorses
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
telemedicine ^nn+++??+=telemedicine
and ^cc++++=and
has ^vbz+hvz+aux++=has
published ^vprf+++xvbnx+=published
guidelines ^nns+++??+=guidelines
for ^in++++=for
conducting ^xvbg+++xvbg+=conducting
remote ^jj+atrb+++=remote
neurological ^nn+++??+=neurological
examinations ^nns++++=examinations.
. ^zz++++=EXTRAWORD
Feasible ^jj+atrb+++=Feasible
assessment ^nn++++=assessment
methods ^nns++++=methods
for ^in++++=for
Ms ^nn++++=MS
patients ^nns++++=patients
in ^in++++=in
a ^at++++=a
telemedicine ^nn+++??+=telemedicine
context ^nn++++=context
include ^vb++++=include
simple ^jj+atrb+++=simple
tests ^nns++++=tests
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
timed ^jj+++xvbn+=timed
25 ^cd++++=25-foot
- ^zz++++=EXTRAWORD
foot ^nn++++=EXTRAWORD
walk ^nn++++=walk,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
more ^rbr++++=more
complex ^jj+atrb+++=complex
evaluations ^nns+++??+=evaluations,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
fundoscopic ^vb+++??+=fundoscopic
examinations ^nns++++=examinations,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
performed ^vpsv++agls+xvbnx+=performed
when ^wrb+who+++=when
appropriate ^jj+atrb+++=appropriate
technological ^jj+atrb+++=technological
resources ^nns++++=resources
are ^vb+ber+vrb++=are
available ^jj+pred+++=available.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
telemedicine ^nn+++??+=telemedicine
presents ^vbz++++=presents
certain ^jj+atrb+++=certain
limitations ^nns++++=limitations,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
regarding ^in++++=regarding
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
treatment ^nn++++=treatment
adherence ^nn++++=adherence
and ^cc++++=and
technological ^jj+atrb+++=technological
accessibility ^nn++++=accessibility.
. ^zz++++=EXTRAWORD
