A ^at++++=A
limitation ^nn++++=limitation
of ^in++++=of
our ^pp$+pp1+++=our
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
for ^in++++=for
applications ^nns++++=applications
requiring ^vwbg+++xvbg+=requiring
rapid ^jj+atrb+++=rapid
decision ^nn++++=decision-making,
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
delay ^nn++++=delay
between ^in++++=between
the ^ati++++=the
occurrence ^nn++++=occurrence
of ^in++++=of
death ^nn++++=death
and ^cc++++=and
the ^ati++++=the
issuance ^nn+++??+=issuance
and ^cc++++=and
registration ^nn++++=registration
of ^in++++=of
the ^ati++++=the
Death ^nn++++=Death
Certificate ^nn++++=Certificate
in ^in++++=in
the ^ati++++=the
Civil ^jj+atrb+++=Civil
Registry ^nn++++=Registry
database ^nn+++??+=database,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
extend ^vb++++=extend
up ^rp++++=up
to ^to++++=to
15 ^cd++++=15
days ^nns++++=days.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
utilized ^vbd+++xvbn+=utilized
available ^jj+atrb+++=available
time ^nn++++=time
series ^nn++++=series
data ^nns++++=data
that ^tht+rel+subj++=that
recorded ^vprf+++xvbn+=recorded
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
actual ^jj+atrb+++=actual
date ^nn++++=date
of ^in++++=of
death ^nn++++=death
to ^to++++=to
demonstrate ^vbi+vprv+++=demonstrate
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
referencing ^nn+++??+=referencing
data ^nns++++=data
to ^in++++=to
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
death ^nn++++=death.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
authorities ^nns++++=authorities
could ^md+pos+++=could
use ^vb++++=use
primary ^jj+atrb+++=primary
data ^nns++++=data
specifying ^vwbg+++xvbg+=specifying
the ^ati++++=the
cause ^nn++++=cause
of ^in++++=of
death ^nn++++=death
and ^cc++++=and
referencing ^nn+++??+=referencing
deaths ^nns++++=deaths
to ^in++++=to
the ^ati++++=the
actual ^jj+atrb+++=actual
date ^nn++++=date
of ^in++++=of
occurrence ^nn++++=occurrence,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
to ^in++++=to
the ^ati++++=the
date ^nn++++=date
when ^wrb+who+++=when
Pcr ^np+++??+=PCR
test ^nn++++=test
results ^nns++++=results
become ^vb++++=become
available ^jj++++=available.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
intention ^nn++++=intention
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
to ^in++++=to
advocate ^nn++++=advocate
for ^in++++=for
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Arpen ^np+++??+=ARPEN
data ^nns++++=data
in ^in++++=in
policymaking ^nn+++??+=policymaking,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb++++=rather
to ^to++++=to
illustrate ^vbi++++=illustrate
that ^dt+dem+++=that
referencing ^nn+++??+=referencing
deaths ^nns++++=deaths
by ^in++++=by
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
death ^nn++++=death
provides ^vbz+vsua+++=provides
more ^rbr++++=more
accurate ^jj+atrb+++=accurate
insights ^nns++++=insights
into ^in++++=into
the ^ati++++=the
progression ^nn++++=progression
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease
and ^cc++++=and
the ^ati++++=the
effectiveness ^nn++++=effectiveness
of ^in++++=of
control ^nn++++=control
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
Reporting ^vbg+++xvbg+=Reporting
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
mortality ^nn++++=mortality
data ^nns++++=data
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
test ^nn++++=test
results ^nns++++=results,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
death ^nn++++=death,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
introduce ^vb++++=introduce
distortions ^nns++++=distortions
and ^cc++++=and
impede ^nn+++??+=impede
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
understanding ^nn++++=understanding
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease
s ^zz++++=s
spread ^vprf+++xvbn+=spread
in ^in++++=in
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
