Zhang ^np+++??+=Zhang
and ^cc++++=and
colleagues ^nns++++=colleagues
( ^zz++++=(49)
49 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
examined ^vbd+++xvbn+=examined
factors ^nns++++=factors
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
mental ^jj+atrb+++=mental
health ^nn++++=health
of ^in++++=of
children ^nns++++=children
with ^in++++=with
Adhd ^np+++??+=ADHD
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
outbreak ^nn++++=outbreak.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
results ^nns++++=results
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
Adhd ^np+++??+=ADHD
symptoms ^nns++++=symptoms
in ^in++++=in
children ^nns++++=children
were ^vbd+bed+aux++=were
significantly ^rb++splt++=significantly
exacerbated ^vpsv++agls+xvbnx+=exacerbated
during ^in++++=during
the ^ati++++=the
outbreak ^nn++++=outbreak
compared ^vbd+++xvbn+=compared
to ^in++++=to
pre ^nn+++??+=pre-pandemic
- ^zz++++=EXTRAWORD
pandemic ^nn+++??+=EXTRAWORD
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
underscore ^nn+++??+=underscore
the ^ati++++=the
necessity ^nn++++=necessity
of ^in++++=of
prioritizing ^nn+++??+=prioritizing
vulnerable ^jj+atrb+++=vulnerable
populations ^nns++++=populations,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
children ^nns++++=children
with ^in++++=with
Adhd ^np+++??+=ADHD,
, ^zz++++=EXTRAWORD
during ^in++++=during
public ^jj+atrb+++=public
health ^nn++++=health
emergencies ^nns+++??+=emergencies.
. ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further
research ^nn++++=research
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
determine ^vbi++++=determine
effective ^jj+atrb+++=effective
strategies ^nns+++??+=strategies
for ^in++++=for
supporting ^xvbg+++xvbg+=supporting
children ^nns++++=children
with ^in++++=with
Adhd ^np+++??+=ADHD
In ^in++++=in
The ^ati++++=the
Context ^nn++++=context
Of ^in++++=of
Disaster ^nn++++=disaster
Risk ^nn++++=risk
Reduction ^nn++++=reduction
Activities ^nns++++=activities.
 ^zz++++=EXTRAWORD
