It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
testing ^vbg+++xvbg+=testing
rates ^nns++++=rates
can ^md+pos+++=can
influence ^vb++++=influence
both ^abx++++=both
incidence ^nn++++=incidence
and ^cc++++=and
mortality ^nn++++=mortality
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
as ^in++++=as
disease ^nn++++=disease
diagnosis ^nn++++=diagnosis
relies ^vbz++++=relies
on ^in++++=on
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
diagnostic ^nn+++??+=diagnostic
tests ^nns++++=tests.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
higher ^jjr+atrb+++=higher
testing ^jj+atrb++xvbg+=testing
rates ^nns++++=rates
in ^in++++=in
a ^at++++=a
given ^jj+atrb++xvbn+=given
region ^nn++++=region
are ^vb+ber+aux++=are
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
result ^vbi++++=result
in ^in++++=in
increased ^nn++++=increased
reported ^vbd+vpub++xvbn+=reported
incidence ^nn++++=incidence
and ^cc++++=and
mortality ^nn++++=mortality
figures ^nns++++=figures.
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
regions ^nns++++=regions
with ^in++++=with
inadequate ^jj+atrb+++=inadequate
testing ^jj+atrb++xvbg+=testing
capacity ^nn++++=capacity
may ^md+pos+++=may
experience ^vb++++=experience
significant ^jj+atrb+++=significant
underreporting ^nn+++??+=underreporting
of ^in++++=of
cases ^nns++++=cases
and ^cc++++=and
deaths ^nns++++=deaths
( ^zz++++=(21).
21 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
methodological ^nn++++=methodological
approach ^vb++++=approach
employed ^vbd+++xvbn+=employed
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
would ^md+prd+++=would
be ^vb+be+vrb++=be
more ^rbr++++=more
appropriate ^jj+pred+++=appropriate
in ^in++++=in
a ^at++++=a
context ^nn++++=context
where ^wrb+who+++=where
testing ^nvbg+++xvbg+=testing
rates ^nns++++=rates
are ^vb+ber+vrb++=are
homogeneous ^jj+pred+++=homogeneous
across ^in+pl+++=across
regions ^nns++++=regions;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
achieving ^jj+++xvbg+=achieving
such ^abl++++=such
uniformity ^nn++++=uniformity
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
feasible ^jj++++=feasible
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
setting ^nn++++=setting.
. ^zz++++=EXTRAWORD
