It ^pp3+it+++=It
is ^vbz+bez+aux++=is
expected ^vpsv++agls+xvbnx+=expected
that ^tht+vcmp+++=that
the ^ati++++=the
same ^ap++++=same
institutions ^nns++++=institutions
are ^vb+ber+aux++=are
actively ^rb++splt++=actively
submitting ^vbg+++xvbgx+=submitting
data ^nns++++=data
to ^in++++=to
multiple ^jj+atrb+++=multiple
databases ^nns+++??+=databases,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
host ^nn++++=host
prominent ^jj+atrb+++=prominent
research ^nn++++=research
groups ^nns++++=groups
specializing ^vwbg+++xvbg+=specializing
in ^in++++=in
emerging ^xvbg+++xvbg+=emerging
and ^cc++++=and
infectious ^nns+++??+=infectious
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
biodiversity ^nn+++??+=biodiversity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
biotechnology ^nn+++??+=biotechnology.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
these ^dt+dem+++=these
institutions ^nns++++=institutions
are ^vb+ber+aux++=are
located ^vpsv++agls+xvbnx+=located
in ^in++++=in
Lima ^np++++=Lima,
, ^zz++++=EXTRAWORD
the ^ati++++=the
capital ^nn++++=capital
of ^in++++=of
Peru ^np++++=Peru.
. ^zz++++=EXTRAWORD
To ^to++++=To
enhance ^vbi++++=enhance
diversity ^nn++++=diversity
and ^cc++++=and
representativeness ^nns+++??+=representativeness,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
that ^tht+vcmp+++=that
funding ^nn+++??+=funding
efforts ^nns++++=efforts
be ^vb+be+aux++=be
directed ^vpsv++agls+xvbnx+=directed
toward ^in++++=toward
regional ^jj+atrb+++=regional
research ^nn++++=research
groups ^nns++++=groups
and ^cc++++=and
the ^ati++++=the
study ^nn++++=study
of ^in++++=of
a ^at++++=a
broader ^jjr+atrb+++=broader
range ^nn++++=range
of ^in++++=of
taxa ^nn+++??+=taxa,
, ^zz++++=EXTRAWORD
including ^in++++=including
non ^&fw++++=non-pathogenic
- ^zz++++=EXTRAWORD
pathogenic ^nn+++??+=EXTRAWORD
bacteria ^nns++++=bacteria,
, ^zz++++=EXTRAWORD
archaea ^nn+++??+=archaea,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-vertebrates,
- ^zz++++=EXTRAWORD
vertebrates ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
non ^&fw++++=non-flowering
- ^zz++++=EXTRAWORD
flowering ^nn++++=EXTRAWORD
plants ^nns++++=plants.
. ^zz++++=EXTRAWORD
