Measurement ^nn++++=Measurement
invariance ^nn+++??+=invariance
was ^vbd+bedz+aux++=was
established ^vpsv++agls+xvbnx+=established
across ^in+pl+++=across
marital ^jj+atrb+++=marital
status ^nn++++=status
( ^zz++++=(living
living ^jj+++xvbg+=EXTRAWORD
with ^in++++=with
a ^at++++=a
partner ^nn++++=partner
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
not ^xnot++not++=not),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
presence ^nn++++=presence
of ^in++++=of
chronic ^jj+atrb+++=chronic
disease ^nn++++=disease
( ^zz++++=(yes
yes ^nn++++=EXTRAWORD
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
no ^at++++=no),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
presence ^nn++++=presence
of ^in++++=of
work ^nn++++=work-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
disease ^nn++++=disease
( ^zz++++=(yes
yes ^nn++++=EXTRAWORD
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
no ^at++++=no),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
for ^in+ppvb+++=for
valid ^jj+atrb+++=valid
comparisons ^nns++++=comparisons
between ^in++++=between
these ^dt+dem+++=these
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
measurement ^nn++++=measurement
invariance ^nn+++??+=invariance
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
supported ^vbd+++xvbn+=supported
for ^in++++=for
sex ^nn++++=sex
( ^zz++++=(men
men ^nns++++=EXTRAWORD
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
women ^nns++++=women),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
employment ^nn++++=employment
in ^in++++=in
other ^ap++++=other
institutions ^nns++++=institutions,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
length ^nn++++=length
of ^in++++=of
employment ^nn++++=employment
at ^in++++=at
the ^ati++++=the
institution ^nn++++=institution,
, ^zz++++=EXTRAWORD
precluding ^nn+++??+=precluding
meaningful ^jj+atrb+++=meaningful
comparisons ^nns++++=comparisons
across ^in+pl+++=across
these ^dt+dem+++=these
variables ^nns++++=variables
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Supplement ^nn++++=Supplement
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
invariance ^nn+++??+=invariance
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
assessed ^vpsv++agls+xvbnx+=assessed
for ^in++++=for
type ^nn++++=type
of ^in++++=of
organization ^nn++++=organization,
, ^zz++++=EXTRAWORD
monthly ^jj+atrb+++=monthly
income ^nn++++=income,
, ^zz++++=EXTRAWORD
possession ^nn++++=possession
of ^in++++=of
a ^at++++=a
specialty ^nn+++??+=specialty,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
participant ^nn++++=participant
age ^nn++++=age,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
necessary ^jj+atrb+++=necessary
statistical ^jj+atrb+++=statistical
assumptions ^nns++++=assumptions
for ^in++++=for
these ^dt+dem+++=these
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
not ^xnot++not++=not
met ^vpsv++agls+xvbn+=met
in ^in++++=in
these ^dt+dem+++=these
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
